,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
38,HALLMARK_ADIPOGENESIS,7.162651474390417e-10,-6.162453175703094,3.223193163475688e-08,ABCA1;ABCB8;ACAA2;ACADL;ACADS;ACO2;ADIG;ADIPOQ;ADIPOR2;ALDH2;ANGPT1;APOE;ATP1B3;BAZ2A;BCL2L13;C3;CAT;CCNG2;CD302;CHCHD10;CHUK;COL15A1;COL4A1;COQ3;COQ5;COQ9;COX6A1;COX8A;CPT2;CS;CYC1;DBT;DECR1;DHRS7;DHRS7B;DLAT;DLD;DNAJB9;DNAJC15;DRAM2;ECH1;ECHS1;EPHX2;ESRRA;ESYT1;ETFB;FAH;FZD4;GADD45A;GBE1;GHITM;GPAM;GPX3;GRPEL1;HADH;HSPB8;IDH3A;IFNGR1;ITGA7;JAGN1;LIPE;LPCAT3;LPL;LTC4S;MAP4K3;MCCC1;MDH2;ME1;MGST3;MRPL15;MTCH2;NDUFA5;NDUFAB1;NDUFB7;NKIRAS1;NMT1;PEMT;PEX14;PFKFB3;PGM1;PLIN2;POR;PPP1R15B;PREB;PTCD3;QDPR;REEP5;REEP6;RETSAT;RIOK3;RNF11;SAMM50;SCP2;SDHB;SLC19A1;SLC25A1;SLC25A10;SLC27A1;SNCG;SOD1;STAT5A;SUCLG1;SULT1A1;TALDO1;TANK;TST;UCP2;UQCRC1;UQCRQ;VEGFB;YWHAG,DNAJB9;FAH;LTC4S;CCNG2;ETFB;TST;C3;REEP6;GBE1;NKIRAS1;ME1;CD302;SLC19A1;SLC25A1;MCCC1;GRPEL1;SAMM50,LPCAT3;ALDH2;ADIPOR2;IFNGR1;HSPB8;ACADS;COQ5;COX6A1,LIPE;MDH2;GRPEL1;CCNG2;STAT5A;ESRRA;DLD;SDHB;GPX3;PEX14;C3;MAP4K3;CD302;DHRS7;POR;NKIRAS1;NDUFAB1;SLC27A1;PPP1R15B;RETSAT;NDUFB7;CPT2;PTCD3;NMT1;GBE1;ACAA2;TST;COQ9,0.8008857589159288,-1.519866625614144,-1.6919533962220563,0.011566075028659048,-0.04559785556810315,-0.34597674168559106,-2.798090779084401
0,HALLMARK_E2F_TARGETS,4.925446484280938e-09,-5.849671551163425,1.1082254589632111e-07,ASF1A;ASF1B;ATAD2;AURKB;BARD1;BRCA2;BRMS1L;BUB1B;CCNB2;CDC20;CDCA3;CDCA8;CDK4;CDKN1B;CENPE;CIT;CKS2;CTCF;DCK;DCLRE1B;DCTPP1;DIAPH3;DONSON;DSCC1;E2F8;EIF2S1;ESPL1;EXOSC8;GINS1;GINS4;HELLS;HUS1;IPO7;KIF18B;KIF22;KIF2C;LIG1;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MELK;MSH2;MYBL2;MYC;NAA38;NBN;NCAPD2;NOLC1;NUDT21;NUP107;NUP153;NUP205;PA2G4;PDS5B;PLK1;PLK4;PNN;POLA2;POLD1;POLD3;POLE4;POP7;PPM1D;PRIM2;PTTG1;RAD21;RAN;RANBP1;RFC1;RFC3;RNASEH2A;RPA1;RPA2;RPA3;SLBP;SMC3;SPAG5;SPC24;SPC25;SSRP1;STAG1;STMN1;TACC3;TIMELESS;TK1;TOP2A;TRA2B;TRIP13;TUBB;TUBG1;UBE2S;WDR90;XPO1;XRCC6,KIF22;SMC3;RAD21;NCAPD2;KIF2C;MSH2;RNASEH2A;BRCA2;MCM6;CDC20;STMN1;CDCA3;CDCA8;MYBL2;EXOSC8;MELK;ESPL1;KIF18B;CENPE;PLK4;PTTG1;RFC3;DIAPH3;SPC24;SPAG5;DSCC1;DONSON;ATAD2;PDS5B;AURKB;CCNB2;MCM2;PRIM2;HELLS;GINS1;POLA2;ASF1B;SPC25;TK1;E2F8;TOP2A;UBE2S;RPA3;LIG1;XPO1;NUP205;TRIP13,CDKN1B;NCAPD2;CDCA3;ASF1A;CIT;RAN,BRMS1L;E2F8;BARD1;PDS5B;TK1;TOP2A;TUBG1;MCM6;TACC3;SSRP1;NBN;NUDT21;ATAD2;DIAPH3;NUP153;TRA2B;SPC24;MCM3;RPA1;NCAPD2;RAN;POLA2;GINS1;XPO1;BRCA2;LIG1;TRIP13;CDC20,-2.2293985599689545,-1.3077624203442484,-1.205281755648024,-0.8790975620091701,-0.03167233875327126,-0.19314726815967626,-3.46966040375166
2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,8.737125514699745e-06,4.446277047532768,0.00013105688272049617,ATF6;ATP6V0D1;BAG3;CALR;CCL2;CEBPG;CNOT2;CNOT4;CNOT6;DCP1A;DCP2;DDIT4;DDX10;DNAJB9;DNAJC3;EDC4;EDEM1;EEF2;EIF2AK3;EIF2S1;EIF4A2;EIF4A3;EIF4EBP1;ERN1;EXOSC1;EXOSC2;EXOSC4;FKBP14;HSP90B1;HSPA5;HSPA9;IFIT1;KHSRP;KIF5B;LSM4;NFYB;NOLC1;NOP14;PDIA6;PREB;RRP9;SDAD1;SEC11A;SLC7A5;SPCS3;SRPRB;SSR1;STC2;TATDN2;TUBB2A;WIPI1;YIF1A;ZBTB17,DDIT4;BAG3;SRPRB;DNAJB9;DNAJC3;SSR1;EDEM1;EIF2S1;EEF2;NOP14;EIF4A2;RRP9;ERN1;CNOT2;FKBP14;DDX10;NOLC1;DCP1A;SDAD1;CNOT6;SPCS3;PREB;SEC11A;HSPA5;ATP6V0D1,HSP90B1;NFYB,CNOT6;DDX10;SSR1;DNAJC3;RRP9;EIF4A2;ZBTB17;EXOSC2;HSPA5;PDIA6;IFIT1;EDEM1,1.793633750645434,-0.9442140662149214,-1.0604919573828524,0.6742351638669314,-0.009302430824639872,-0.10269340110135347,1.8745099417715039
1,HALLMARK_G2M_CHECKPOINT,1.1721978548829915e-05,-4.382695705456653,0.00013187225867433654,ABL1;AURKB;BARD1;BCL3;BRCA2;BUB1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC6;CDK4;CDKN1B;CENPE;CENPF;CHAF1A;CKS2;CTCF;CUL1;CUL3;CUL5;DBF4;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;FANCC;GINS2;HIRA;HMGN2;HOXC10;HUS1;KIF11;KIF20B;KIF22;KIF2C;KIF5B;KPNB1;LMNB1;MAD2L1;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MNAT1;MT2A;MYBL2;MYC;NCL;NEK2;NOLC1;NOTCH2;NUMA1;ODC1;ODF2;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;POLA2;POLQ;PRIM2;PRPF4B;PTTG1;RAD21;RAD23B;RASAL2;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC7A1;SLC7A5;SMAD3;SMARCC1;SNRPD1;SQLE;STAG1;STMN1;TACC3;TGFB1;TOP1;TOP2A;TRA2B;TRAIP;TROAP;UBE2S;UCK2;UPF1;WRN;XPO1,SAP30;RASAL2;HOXC10;KIF22;TRAIP;RAD21;KIF2C;NEK2;BRCA2;MCM6;CDC20;CENPF;KIF20B;STMN1;FANCC;MYBL2;BUB1;ESPL1;CENPE;PLK4;PTTG1;TROAP;POLQ;CCNA2;NOTCH2;KIF11;PDS5B;AURKB;CCNB2;MT2A;MCM2;PRIM2;E2F1;GINS2;POLA2;E2F2;PBK;CCNF;TOP2A;SLC12A2;UBE2S;XPO1,UCK2;SMAD3;CENPF;NEK2;RASAL2;RAD21;SQLE;MYC;SMARCC1;TRAIP;KIF5B;RPA2;KIF2C;CDC20;SFPQ;SNRPD1;E2F2;STMN1;HMGN2;E2F1;MYBL2;TOP1;PRIM2;MNAT1;UPF1;NOTCH2;TACC3;MARCKS;BCL3;CCNB2;HUS1;DBF4;MEIS1;XPO1;BRCA2;SLC7A1;PDS5B;ODC1;MCM3;KIF11;KIF20B;NOLC1;E2F3;KIF22;TRA2B;CDK4;HOXC10;ESPL1;TROAP;CKS2;FANCC;RAD23B;CCNT1;CUL3;PRPF4B;NCL;POLA2;MCM6;WRN;PBK;STAG1;CHAF1A;SLC7A5;GINS2;CTCF;E2F4;CENPE;EGF;SAP30;CUL1;PLK4,CHAF1A;BARD1;CDC6;PDS5B;TOP2A;KPNB1;SMARCC1;MCM6;TACC3;BUB1;PRPF4B;TRA2B;MCM3;CUL1;POLA2;CENPF;SMAD3;XPO1;BRCA2;NCL;CDC20;ODC1;CCND1;TOP1;BCL3;KIF11;E2F4;HMGN2;GINS2;MNAT1;PAFAH1B1,-1.9124192288438135,0.8456554854571114,-0.8464961523081517,-0.6603887259123579,0.04812140459669476,-0.028175849833677692,-2.3288829797678203
39,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.009618342391549864,-2.5892564871843393,0.08656508152394878,ACTR3;ADCY2;ARHGDIA;ARPC3;ATF1;CALR;CAMK4;CDK4;CDKN1B;CFL1;CLTC;CSNK2B;CXCR4;DAPP1;DUSP3;E2F1;EGFR;FGF17;FGF22;FGF6;GNA14;HSP90B1;ITPR2;MAP2K3;MAP2K6;MYD88;NCK1;NGF;NOD1;PDK1;PFN1;PIKFYVE;PIN1;PLA2G12A;PPP2R1B;PRKAA2;PRKAR2A;PTEN;PTPN11;RAF1;RALB;RIPK1;RIT1;RPS6KA1;SLC2A1;STAT2;THEM4;TIAM1;TNFRSF1A;TRAF2;UBE2N;VAV3,GNA14;MAP2K3;PLA2G12A;ARHGDIA;TIAM1;TNFRSF1A,CDKN1B;FGF6;ARPC3;HSP90B1;TNFRSF1A;PTPN11;UBE2N;ARHGDIA,RAF1;CFL1;SLC2A1;GNA14;ATF1;TNFRSF1A;DUSP3;NOD1;CXCR4;ARHGDIA,0.7796049863558776,-2.0013199390807026,-1.2163469258050563,0.008254211319548276,-0.2636630963814658,-0.13278400209612354,-4.036962396610692
10,HALLMARK_MYC_TARGETS_V2,0.06672696754149864,1.8335086220289516,0.5004522565612398,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,GRWD1;PES1;PA2G4;HK2;MAP3K6;RRP9;TMEM97;NOP16;MYC;SLC19A1;NOLC1;WDR74;DDX18;PPRC1;SRM;WDR43;BYSL;FARSA;SLC29A2;IPO4;AIMP2,UTP20;NOC4L;MCM5;DCTPP1;PLK1;PES1;DUSP2,GRWD1;RRP9,1.6121341208949225,-1.2035290956603364,-0.6307429697036593,0.6416834209780012,-0.08753953909557928,-0.0005308401743420546,1.9657559876736201
42,HALLMARK_PANCREAS_BETA_CELLS,0.2746926549703088,1.092319584725907,0.7725730921039935,ABCC8;CHGA;DPP4;ELP4;FOXO1;GCK;HNF1A;ISL1;NEUROD1;NEUROG3;NKX2-2;NKX6-1;PAX4;PCSK1;PCSK2;PDX1;SCGN;SEC11A;SLC2A2;SRP14;SRPRB;SST;SYT13,SRPRB;ABCC8,HNF1A,PDX1;ISL1;PCSK2;SST;NEUROG3;NKX2-2;NEUROD1;SRPRB;PAX4;HNF1A;SEC11A;PCSK1;ELP4;FOXO1;ABCC8;CHGA,0.6977275908779192,-0.7856738080251183,1.648024949560396,0.0015166997739221573,-0.006552494670778823,0.8278339932890316,2.4271208390566783
35,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.15657217208419852,1.4166948203316494,0.7725730921039935,B2M;BATF2;BST2;CMPK2;CNP;DDX60;DHX58;GBP2;GBP4;GMPR;HLA-C;IFI30;IFI35;IFI44;IFIT2;IL4R;IL7;IRF1;IRF2;IRF9;ISG20;LAMP3;LAP3;LGALS3BP;NMI;NUB1;OGFR;PARP12;PARP14;PLSCR1;PNPT1;PROCR;PSME2;RIPK2;RNF31;RSAD2;RTP4;SAMD9;SAMD9L;SELL;SLC25A28;STAT2;TAP1;TDRD7;TMEM140;TRIM21;TRIM25;TRIM26;TXNIP;UBA7;USP18,RTP4;GMPR;RNF31;TDRD7;SLC25A28;B2M;BATF2;RIPK2;IRF1;OGFR;TAP1;DDX60;IRF9;GBP4;TMEM140;NUB1;IFI35;SAMD9L;SAMD9;STAT2;CMPK2;PARP12;RSAD2;USP18;IFI44;IFIT2;PARP14;PNPT1;TRIM21;UBA7;SELL;HLA-C;LAP3,SELL;LGALS3BP;IL7;RIPK2;UBA7;OGFR;PROCR;RNF31;PSME2;IRF9;TXNIP;NMI;LAMP3;B2M;SAMD9L;SAMD9;PNPT1;CMPK2;RSAD2;IFIT2;SLC25A28;GMPR;TRIM26;ISG20;LAP3;RTP4;STAT2;TDRD7;PLSCR1;IL4R;TAP1;HLA-C;DDX60;IRF2;GBP2;GBP4;IFI44;PARP12;TMEM140;NUB1,LGALS3BP;IFIT2;NUB1;IL4R;LAP3;PARP12;IFI35;DDX60;SELL;TRIM26;TMEM140;TXNIP,-0.7545176870115379,1.166590500234595,-0.8832393804374731,-0.041517011312477765,7.499505644052953e-17,-0.017700572882810343,-4.019800854400021
32,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.26197008759781837,1.121746856845634,0.7725730921039935,ABI3BP;ANPEP;AREG;BASP1;BMP1;CAP2;CAPG;CDH11;CDH2;CDH6;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL7A1;COL8A2;COMP;CRLF1;CTHRC1;CXCL1;CXCL6;DAB2;DKK1;DPYSL3;DST;EDIL3;EFEMP2;EMP3;ENO2;FAP;FBLN5;FBN1;FBN2;FGF2;FMOD;FSTL1;FSTL3;FUCA1;GADD45A;GADD45B;GLIPR1;GPC1;GPX7;GREM1;HTRA1;ID2;IGFBP2;IGFBP4;IL6;INHBA;ITGA2;ITGA5;ITGB3;ITGB5;LAMA1;LAMC1;LGALS1;LOX;LOXL1;LOXL2;LRP1;LUM;MATN3;MFAP5;MGP;MMP14;MMP2;MSX1;NID2;NOTCH2;NT5E;NTM;OXTR;PCOLCE;PCOLCE2;PDGFRB;PLOD1;PLOD3;PPIB;SCG2;SDC4;SERPINH1;SFRP1;SFRP4;SGCB;SGCG;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;TFPI2;TGFB1;TGFBI;TGFBR3;THBS1;THBS2;THY1;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM4;VEGFC;VIM;WNT5A,CRLF1;TFPI2;SERPINH1;NTM;TNC;NT5E;TGFB1;FSTL3;WNT5A;PPIB;SDC4;ITGB3,MFAP5;TNFAIP3;ENO2;MGP;LUM;FBN2;LGALS1,SFRP4;CXCL6;MSX1;IL6;DKK1;PDGFRB;LAMA1;SPOCK1;ENO2;CRLF1;EDIL3;VEGFC;COMP;CDH6;COL5A3;SCG2;SGCG;CAPG;FBN1;FGF2;NTM;BASP1;CTHRC1;EMP3;TNFRSF11B;ANPEP;COL5A1;GREM1;COL16A1;COL4A1;NID2;GADD45B;TNC;PCOLCE;IGFBP2;FAP;LGALS1;MGP;LAMC1;COL4A2;DAB2;COL7A1;CDH11;EFEMP2;PLOD3,0.9232013271040752,-1.03628527605745,1.5011552269747654,0.017089014366139934,-0.018766761912503715,0.43400314796951645,2.4291278374061003
30,HALLMARK_COMPLEMENT,0.26994292553767285,-1.103194001937172,0.7725730921039935,ACTN2;AKAP10;ANXA5;APOA4;APOC1;ATOX1;BRPF3;C1QA;C1R;C3;CA2;CALM3;CBLB;CCL5;CDA;CDH13;CDK5R1;CFB;CFH;COL4A2;CP;CTSC;CTSO;CTSS;CXCL1;DOCK10;DOCK4;DPP4;DUSP5;EHD1;F10;F2;F3;F5;FCER1G;FCN1;FDX1;GCA;GMFB;GNAI2;GNAI3;GNB2;GNB4;GNG2;GNGT2;GP1BA;GP9;GZMA;GZMB;GZMK;HPCAL4;HSPA5;IL6;IRF1;IRF2;JAK2;KCNIP3;KLK1;KLKB1;KYNU;L3MBTL4;LAP3;LCP2;LRP1;LTA4H;LTF;ME1;MMP13;MMP14;MMP15;MMP8;MT3;NOTCH4;OLR1;PCLO;PCSK9;PDGFB;PFN1;PIK3CG;PIM1;PLA2G4A;PLEK;PLSCR1;PPP4C;PRDM4;PREP;PRSS3;PRSS36;RABIF;RAF1;RHOG;RNF4;S100A12;S100A9;SERPINC1;SH2B3;SIRT6;SPOCK2;STX4;TFPI2;TIMP2;TMPRSS6;TNFAIP3;USP15;ZFPM2,TFPI2;PLA2G4A;LTA4H;S100A9;DOCK4;CBLB;CP;C3;ME1;RNF4;PLSCR1;DUSP5;ZFPM2;CTSO;CTSC,C1R;OLR1;SH2B3;TNFAIP3;PRDM4;LTA4H,MT3;IL6;ATOX1;PDGFB;PRDM4;KLK1;RABIF;TMPRSS6;SERPINC1;PCSK9;CBLB;LTF;GCA;CA2;PLA2G4A,0.9416514810274876,-1.274533712326109,0.8162230657817601,0.02462026858523019,-0.031054972399541483,0.007994409506478766,0.0771774932677
25,HALLMARK_DNA_REPAIR,0.20407101607910383,-1.2700382204028395,0.7725730921039935,AAAS;ADA;AK1;ARL6IP1;BRF2;CCNO;CDA;CMPK2;COX17;CSTF3;DDB1;DDB2;DGCR8;EDF1;EIF1B;ELL;ERCC3;ERCC4;ERCC5;GTF2A2;GTF2B;GTF2F1;GTF2H3;GTF2H5;HCLS1;IMPDH2;LIG1;MRPL40;NME3;NPR2;NT5C;NUDT21;PNP;POLA2;POLB;POLD1;POLD3;POLE4;POLH;POLL;POLR1D;POLR2A;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR3C;POLR3GL;PRIM1;RAD52;RALA;RBX1;REV3L;RFC3;RNMT;RPA2;RPA3;RRM2B;SAC3D1;SEC61A1;SF3A3;SNAPC4;SNAPC5;SSRP1;STX3;SUPT4H1;SURF1;TAF10;TAF13;TK2;TMED2;TSG101;TYMS;VPS37B;VPS37D,CCNO;VPS37B;PNP;SNAPC5;SEC61A1;MRPL40;IMPDH2;RRM2B;RNMT;SURF1;GTF2A2;POLB;TSG101;POLL;POLR2E;POLR2D;HCLS1;TK2;POLR2H;DDB1;POLR1D;GTF2F1;TAF13;SSRP1,RAD52;GTF2H5;VPS37B;TMED2;GTF2H3,ERCC4;POLR2E;POLR2G;RRM2B;POLR2C;AK1;RNMT;TYMS;ELL;SSRP1;PRIM1;ERCC5;POLL;NUDT21;POLR2F;POLH;SNAPC5;POLA2;POLR3GL;RAD52;LIG1;COX17,1.1061045451009477,-1.4191162811474038,-1.2750412728215583,0.12732628935489207,-0.04475370387854331,-0.199976543646409,-1.0141123055030112
24,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.22257434575629498,-1.219711275299657,0.7725730921039935,A2M;CBL;CCL7;CD38;CD9;CSF2;CSF2RB;CXCL1;CXCL13;CXCL3;CXCL9;EBI3;HMOX1;IFNAR1;IFNGR1;IFNGR2;IL10RB;IL17RA;IL17RB;IL18R1;IL1B;IL1R1;IL2RA;IL4R;IL6;IL7;INHBE;IRF1;IRF9;ITGA4;ITGB3;LTBR;MAP3K8;MYD88;OSMR;PDGFC;PF4;PIM1;PTPN1;PTPN11;REG1A;SOCS1;SOCS3;STAM2;STAT2;TGFB1;TLR2;TNF;TNFRSF12A;TNFRSF1A;TNFRSF1B;TNFRSF21;TYK2,TNFRSF21;TLR2;OSMR;TGFB1;IL7;ITGB3;IL4R;TNFRSF1A;IFNGR2,A2M;IFNGR1;LTBR;TNFRSF1A;CD9;PTPN11;IL1B;CSF2RB;HMOX1,IL6;CSF2RB;SOCS1;TNFRSF1B;PTPN11;CD9;EBI3;CD38;IL17RA,1.1366873146855712,-1.842571712942549,0.9416519111842352,0.08021575066806076,-0.23165840278923344,0.03418715786470526,-0.9849752440734189
43,HALLMARK_UV_RESPONSE_DN,0.2668997056533132,-1.1102305170052271,0.7725730921039935,ACVR2A;ADORA2B;AGGF1;ANXA4;BHLHE40;BMPR1A;CAP2;CAV1;CDKN1B;CDON;COL1A1;COL1A2;COL3A1;COL5A2;DAB2;DBP;DLC1;DUSP1;F3;FBLN5;GRK5;HAS2;IGF1R;IGFBP5;ITGB3;KALRN;LAMC1;LDLR;LTBP1;MAGI2;MAP1B;MGMT;MRPS31;MT1E;MTA1;MYC;NEK7;NFIB;NOTCH2;NRP1;PDGFRB;PEX14;PHF3;PIAS3;PIK3CD;PRKAR2B;PRKCA;PRKCE;PTEN;PTPN21;RASA2;RND3;RUNX1;RXRA;SCHIP1;SCN8A;SDC2;SIPA1L1;SLC7A1;SMAD3;SMAD7;SNAI2;SRI;SYNJ2;TGFBR3;WDR37;ZMIZ1,LDLR;ADORA2B;BHLHE40;DLC1;ITGB3;DUSP1;MYC;PRKCA;NRP1;MTA1,CDKN1B;SYNJ2,BHLHE40;DBP;AGGF1;PEX14;LDLR;COL5A2;NEK7;PIAS3;FBLN5;NFIB;RASA2;PTEN;MT1E;SMAD3;HAS2;SCN8A;SNAI2;NRP1;MAGI2;BMPR1A;LTBP1;CAV1;MTA1,0.6622162857164008,-0.769952655589086,-1.1693145332597363,0.0018680956414675394,-0.004546407350412744,-0.22212360527364933,-2.493272395496156
22,HALLMARK_APICAL_SURFACE,0.26453226573990385,-1.1157427502006414,0.7725730921039935,ADAM10;ADIPOR2;AKAP7;ATP8B1;B4GALT1;CD160;CROCC;CX3CL1;DCBLD2;EFNA5;EPHB4;FLOT2;HSPB1;IL2RB;LYPD3;MDGA1;NCOA6;PCSK9;RHCG;RTN4RL1;SCUBE1;SLC2A4;SLC34A3;THY1,ADIPOR2;AKAP7;LYPD3;THY1;SLC2A4;NCOA6;CD160;HSPB1;CX3CL1;RTN4RL1;SLC34A3;CROCC;MDGA1;RHCG,ADIPOR2;AKAP7,RHCG;ADAM10;PCSK9,-1.0616861493514056,-1.2806127570353034,0.7895410662143846,-0.2298409228619242,-0.04285054638370205,0.010796751787238983,-2.9318931765154743
6,HALLMARK_P53_PATHWAY,0.2141178655028262,1.2423217720530013,0.7725730921039935,ABCC5;ABHD4;ADA;AEN;AK1;ANKRA2;BMP2;BTG1;BTG2;CCND2;CD81;CDH13;CDK5R1;CDKN2AIP;CGRRF1;CLCA2;CSRNP2;CTSF;DCXR;DDB2;DDIT4;DEF6;DNTTIP2;DRAM1;EPHA2;EPS8L2;ERCC5;F2R;FAM162A;FOS;FUCA1;GADD45A;GLS2;GPX2;HBEGF;HDAC3;HMOX1;HSPA4L;IER3;IFI30;IL1A;INHBB;KIF13B;KLF4;LDHB;LIF;MAPKAPK3;MXD1;MXD4;NINJ1;NOTCH1;NUDT15;PERP;PLK2;PLK3;PMM1;POLH;PPM1D;PPP1R15A;PRKAB1;PROCR;PTPN14;PVT1;RAB40C;RAD9A;RALGDS;RB1;RETSAT;RGS16;RPL18;RPS27L;RRP8;RXRA;S100A10;SEC61A1;SERPINB5;SESN1;SLC19A2;SLC35D1;SLC7A11;SOCS1;ST14;TAP1;TAX1BP3;TCHH;TCN2;TGFB1;TM4SF1;TM7SF3;TNFSF9;TNNI1;TPRKB;TRAF4;TSC22D1;TXNIP;VAMP8;WWP1;ZFP36L1;ZNF365,SLC7A11;TNFSF9;DDIT4;IER3;TGFB1;AEN;RAB40C;PVT1;PMM1;RPS27L;MXD4;SEC61A1;TRAF4;RRP8;EPHA2;MAPKAPK3;RPL18;PLK3;DRAM1;ANKRA2;TXNIP;TCHH;ABHD4;HDAC3,CCND2;DRAM1;PERP;PRKAB1;BTG1;IL1A;HMOX1;LIF;TCN2;PMM1;ANKRA2;PLK2;RAB40C,FOS;PPP1R15A;SLC7A11;DRAM1;AK1;PLK3;AEN;DNTTIP2;LDHB;MAPKAPK3;RETSAT;ERCC5;HMOX1;FAM162A;PRKAB1;KIF13B;POLH;HDAC3,1.5139411372455511,-1.1956843723473844,-0.9387987072000024,0.3019308862111786,-0.061613083271835886,-0.02707539125462853,1.5028435295494122
7,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.13793292742087163,1.4835327290428948,0.7725730921039935,ACAT2;ACTG1;ALCAM;ALDOC;ANTXR2;ANXA5;ATXN2;AVPR1A;CD9;ECH1;ERRFI1;ETHE1;FABP5;FADS2;FASN;FBXO6;FDFT1;GLDC;GNAI1;GUSB;HSD17B7;IDI1;JAG1;LDLR;LPL;MAL2;MVD;PCYT2;PLSCR1;PMVK;PNRC1;S100A11;SCD;SQLE;SREBF2;STARD4;STX5;TM7SF2;TMEM97;TNFRSF12A,LDLR;ALCAM;MAL2;ACTG1;FASN;FDFT1;GUSB;PLSCR1;ANTXR2;TMEM97;ERRFI1;ALDOC,CD9;ATXN2;ACTG1;PCYT2;SREBF2;TNFRSF12A;STARD4,FABP5;HSD17B7;MAL2;CD9;STARD4;S100A11;FDFT1;AVPR1A;ALDOC,1.5264928427161533,-1.0745501812429443,1.2308753124084095,0.3678549987038841,-0.04534297426165404,0.15714505176420182,3.283137032062288
44,HALLMARK_APICAL_JUNCTION,0.43944651923761224,-0.7731281899851709,0.791003734627702,ACTA1;ACTB;ACTC1;ACTG1;ACTG2;ACTN2;ACTN3;ACTN4;ADAM23;ADAMTS5;ADRA1B;AKT2;AMH;AMIGO1;ATP1A3;B4GALT1;BMP1;CD86;CDH1;CDH11;CDH15;CDH3;CDH4;CDH6;CDH8;CDK8;CERCAM;CLDN11;CLDN15;CLDN18;CLDN7;COL16A1;COL17A1;COL9A1;CTNNA1;CX3CL1;EGFR;EVL;EXOC4;FBN1;FSCN1;GNAI1;GNAI2;GTF2F1;HADH;ICAM1;ICAM5;INPPL1;ITGA10;ITGA2;ITGA9;JAM3;KRT31;LAYN;LDLRAP1;MAP4K2;MAPK13;MMP2;MMP9;MVD;MYH10;MYH9;NEGR1;NEXN;NLGN2;NRTN;PARVA;PBX2;PCDH1;PFN1;PIK3CB;PPP2R2C;PTEN;RAC2;RHOF;RRAS;SDC3;SKAP2;SLC30A3;SLIT2;SORBS3;SPEG;STX4;SYMPK;TAOK2;TGFBI;THBS3;THY1;TNFRSF11B;TRAF1;TUBG1;VASP;VWF;WASL;WNK4;YWHAH,ITGA10;PCDH1;ACTG1;CTNNA1;SPEG;ITGA2;CDH3;ICAM1;AMIGO1;CDH15;LDLRAP1;HADH;ADRA1B;EXOC4;CDH8;GTF2F1;BMP1;CLDN18;MYH9;GNAI2;RAC2;MAPK13;PTEN,VWF;RHOF,MAP4K2;SLC30A3;CERCAM;LAYN;CDH15;MYH10;CDH3;CDH6;NEGR1;ADRA1B;CLDN18;MMP9;NEXN;CDH4;FBN1;AKT2;INPPL1;ICAM5;TNFRSF11B;JAM3;SPEG;COL16A1;ADAMTS5;COL9A1;CTNNA1;ADAM23;FSCN1;CDH1;CDH8;CLDN11;SYMPK;EXOC4;WASL,0.5472307940764733,-0.5476027576285533,0.9440710740742148,0.0017110997341783657,-0.0011108724992061694,0.05304135608501731,2.488634429272302
