,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
3,HALLMARK_MYC_TARGETS_V1,6.298137870969204e-12,-6.872737546090094,2.834162041936142e-10,AIMP2;AP3S1;C1QBP;CAD;CCNA2;CCT2;CCT4;CCT5;CDC20;CDK4;CLNS1A;COPS5;COX5A;CUL1;CYC1;DDX18;DDX21;DHX15;EIF2S1;EIF2S2;EIF3D;EIF3J;ERH;ETF1;EXOSC7;FAM120A;FBL;GLO1;GOT2;HDAC2;HDDC2;HNRNPA3;HSP90AB1;HSPE1;ILF2;IMPDH2;KPNB1;LSM2;LSM7;MAD2L1;MCM2;MCM5;MCM6;MRPL23;MRPS18B;MYC;NDUFAB1;NOLC1;NOP16;ODC1;PA2G4;PABPC1;PPIA;PRPF31;PSMA1;PSMA2;PSMA6;PSMA7;PSMB2;PSMB3;PSMC6;PSMD1;PSMD14;PSMD3;PSMD7;PSMD8;PTGES3;PWP1;RAD23B;RAN;RANBP1;RPL18;RPL22;RPS10;RPS3;RPS6;RRM1;RRP9;RSL1D1;RUVBL2;SET;SF3B3;SMARCC1;SNRPA;SNRPA1;SNRPD1;SNRPD3;SNRPG;SRM;SRPK1;SSBP1;STARD7;TRA2B;TUFM;TYMS;UBA2;VDAC1;XPO1;XRCC6;YWHAQ,STARD7;SNRPD3;DDX21;CCT5;ETF1;YWHAQ;GLO1;NOLC1;DDX18;PABPC1;XPO1;PTGES3;MYC;EIF2S1;CCT2;DHX15;RSL1D1;EIF3J;PSMD7;KPNB1;SRPK1;CYC1;PPIA;GOT2;HSPE1;RAN;HSP90AB1;CDC20;PA2G4;VDAC1;UBA2;PSMD3;COX5A;MAD2L1;NOP16;CCT4;SET;CCNA2;PWP1;HNRNPA3;TRA2B;CAD;HDAC2;AIMP2;C1QBP;PSMA2;RUVBL2;COPS5;SNRPD1;RPS3;FBL;EXOSC7;FAM120A;RPS6;EIF2S2;CUL1;PSMB2;SMARCC1;SRM;PSMC6;TUFM;CLNS1A;ILF2;PSMD1;PSMD8;RANBP1;PSMD14;SF3B3;PRPF31;EIF3D;RRM1,ILF2;UBA2;COX5A;SNRPA1;CYC1;PSMA6;MYC;HDAC2;PSMD8;FBL;PABPC1;COPS5;CCT5;PSMA7;SMARCC1;RRP9;IMPDH2;EIF2S2;CDC20;PSMB2;RAN;SNRPD1;HDDC2;PWP1;PSMC6;SNRPA;CCT2;EIF3J;PSMA2;PPIA;AIMP2;RPS6;SNRPG;CCT4;XPO1;HSP90AB1;SRPK1;ODC1;YWHAQ;GLO1;NOLC1;DDX21;MRPS18B;DHX15;HNRNPA3;HSPE1;PSMD14;LSM7;RAD23B;FAM120A;CDK4;PTGES3;TRA2B;PA2G4;PSMD1,SMARCC1;RRP9;KPNB1;AP3S1;DDX18;DHX15;SNRPD1;SSBP1;SF3B3;RAD23B;PPIA;RAN;COPS5;RSL1D1;PSMD7;RRM1;XRCC6;CCT2;NDUFAB1;TRA2B;PSMB3;CCNA2;PSMA7;CDK4;EXOSC7,-2.8290560960867586,0.6550960552718932,-1.5554923887792962,-1.5177698403643718,0.019395054916732962,-0.1822699438067869,-2.845179248810848
1,HALLMARK_G2M_CHECKPOINT,8.786792259941019e-09,-5.752625634549371,1.9770282584867292e-07,ABL1;AURKB;BARD1;BCL3;BRCA2;BUB1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC6;CDK4;CDKN1B;CENPE;CENPF;CHAF1A;CKS2;CTCF;CUL1;CUL3;CUL5;DBF4;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;FANCC;GINS2;HIRA;HMGN2;HOXC10;HUS1;KIF11;KIF20B;KIF22;KIF2C;KIF5B;KPNB1;LMNB1;MAD2L1;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MNAT1;MT2A;MYBL2;MYC;NCL;NEK2;NOLC1;NOTCH2;NUMA1;ODC1;ODF2;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;POLA2;POLQ;PRIM2;PRPF4B;PTTG1;RAD21;RAD23B;RASAL2;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC7A1;SLC7A5;SMAD3;SMARCC1;SNRPD1;SQLE;STAG1;STMN1;TACC3;TGFB1;TOP1;TOP2A;TRA2B;TRAIP;TROAP;UBE2S;UCK2;UPF1;WRN;XPO1,CCNT1;UCK2;SQLE;NOLC1;RAD21;XPO1;MYC;HOXC10;MEIS1;MARCKS;ODF2;TACC3;SLC7A5;KPNB1;CCNF;KIF2C;EGF;FANCC;STAG1;CENPF;CUL5;CENPE;RASAL2;CDC20;PRIM2;DBF4;RPS6KA5;PRPF4B;PBK;CTCF;MAD2L1;KIF11;ESPL1;HUS1;NEK2;PLK1;CCNA2;BRCA2;PAFAH1B1;PDS5B;MYBL2;TRA2B;BUB1;TOP2A;POLQ;KIF20B;NCL;SNRPD1;KIF5B;CCNB2;EFNA5;SLC7A1;WRN;TROAP;CUL1;SMARCC1;UBE2S;TRAIP;LMNB1,UCK2;SMAD3;RASAL2;NEK2;CENPF;RAD21;MYC;SQLE;SMARCC1;TRAIP;KIF5B;TOP1;E2F1;CDC20;SFPQ;MYBL2;HMGN2;STMN1;KIF2C;RPA2;SNRPD1;E2F2;PRIM2;CDKN1B;MNAT1;UPF1;NOTCH2;TACC3;MARCKS;BCL3;CCNB2;DBF4;HUS1;MEIS1;XPO1;SLC7A1;BRCA2;PDS5B;ODC1;MCM3;KIF11;NOLC1;KIF20B;E2F3;KIF22;TROAP;RAD23B;FANCC;CKS2;CCNT1;CDK4;TRA2B;HOXC10;ESPL1;NCL;CUL3;PRPF4B;POLA2;WRN;MCM6;STAG1;PBK;GINS2;SLC7A5,SMARCC1;TACC3;KPNB1;NOTCH2;WRN;SMAD3;DBF4;BUB1;PDS5B;SNRPD1;TOP1;CDC6;RAD23B;SAP30,-2.344964304028336,0.9337126834632312,-1.3506349997701177,-1.0788085626810673,0.049001922379010555,-0.09016734687716556,-2.5757669994674246
4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.181790433805406e-07,-5.296290093294208,1.772685650708109e-06,ACAA2;ACADSB;ACAT1;ACO2;AFG3L2;ALDH6A1;ATP6V0C;ATP6V0E1;ATP6V1D;ATP6V1F;ATP6V1G1;COX10;COX17;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7C;COX8A;CS;CYB5R3;CYC1;DECR1;DLAT;DLD;DLST;ECH1;ECHS1;ETFB;FDX1;FH;GLUD1;GOT2;GPI;GRPEL1;HSPA9;IDH2;IDH3A;ISCA1;LDHB;LRPPRC;MDH1;MDH2;MGST3;MRPL15;MRPL34;MRPS15;MRPS22;MRPS30;MTRF1;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA9;NDUFAB1;NDUFB1;NDUFB2;NDUFB5;NDUFB7;NDUFB8;NDUFC1;NDUFC2;NDUFS4;NDUFS6;NDUFS7;NDUFS8;NDUFV2;NQO2;OAT;OXA1L;PDHB;PDK4;PMPCA;POLR2F;POR;RETSAT;RHOT2;SDHB;SDHD;SLC25A12;SLC25A20;SLC25A4;SUCLA2;SUCLG1;SUPV3L1;SURF1;TIMM10;TIMM13;TIMM17A;TIMM50;TOMM22;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRQ;VDAC1;VDAC2,LRPPRC;FH;NQO2;GRPEL1;IDH2;COX10;CS;TOMM22;GPI;SUPV3L1;MTRF1;MRPS22;ISCA1;MRPL15;MRPS30;DLD;SDHB;MDH2;SUCLA2;VDAC2;CYC1;HSPA9;GOT2;AFG3L2;OAT;SURF1;DLAT;UQCRC2;VDAC1;UQCRH;COX5A;IDH3A;UQCRFS1;POLR2F;PDHB;TIMM17A;SLC25A20;FDX1;MRPS15;ALDH6A1;ACADSB;ACO2;UQCRC1,COX6A1;MGST3;GPI;COX5A;IDH3A;IDH2;ACAA2;CYC1;FH;TIMM17A;NDUFA9;NDUFS6;MRPL15;ECH1;TIMM50;COX6B1;UQCRB;COX6C;DECR1;UQCRC1;SLC25A20;PDHB;MRPS15;UQCRH,SLC25A20;CYB5R3;PDK4;MDH1;GRPEL1;SLC25A12;UQCRFS1;IDH2;MRPS15;COX7C;ACO2;MRPL15;UQCRH;LRPPRC;POLR2F;NDUFS7;FDX1;DLAT;NDUFV2;SUCLA2;LDHB;PDHB;VDAC1;ALDH6A1;DLD;GOT2;NDUFA9;UQCRQ;ATP6V0E1;MGST3,-2.0505514016673385,1.0545668037259308,0.7759953006241697,-0.7152513266612034,2.4523445181648016e-17,2.202238695611934e-17,-2.4494897427831783
32,HALLMARK_ALLOGRAFT_REJECTION,5.519290152000809e-07,-5.007320781000357,6.20920142100091e-06,ACVR2A;B2M;BCAT1;BCL10;BCL3;CAPG;CARTPT;CCL11;CCL19;CCL2;CCL22;CCL5;CCL7;CCND2;CD1D;CD2;CD28;CD3E;CD3G;CD4;CD7;CD80;CD86;CRTAM;CTSS;CXCL13;CXCL9;EGFR;EIF3A;EIF3D;EIF3J;EIF4G3;ELANE;EREG;ETS1;F2;F2R;GALNT1;GBP2;GLMN;GPR65;GZMA;GZMB;HCLS1;HLA-A;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DRA;HLA-E;HLA-G;ICAM1;IFNG;IFNGR1;IFNGR2;IKBKB;IL10;IL11;IL12A;IL12B;IL13;IL16;IL18RAP;IL1B;IL2;IL27RA;IL2RA;IL2RB;IL4R;IL6;IL7;IL9;INHBA;INHBB;IRF8;ITK;JAK2;KRT1;LCP2;LIF;LY75;LY86;MMP9;MRPL3;NCK1;NOS2;PF4;PRKCG;PSMB10;PTPN6;RIPK2;RPL3L;RPS19;RPS3A;RPS9;SIT1;SOCS1;SRGN;ST8SIA4;STAB1;STAT4;TAP1;TGFB1;THY1;TLR1;TLR2;TLR3;TLR6;TNF;TRAF2;TRAT1;UBE2D1;UBE2N;ZAP70,HLA-G;CCND2,IL1B;IL2RB;EIF3D;LIF;IL18RAP;CCL22;ZAP70;ST8SIA4;IL13;F2R;CARTPT;IL12B;ITK;LCP2;RPL3L;IL9;TGFB1;IL11;GZMA;RPS19;TRAF2;RPS9;PRKCG;CD86;HCLS1;MRPL3;TRAT1;CD80;CD7;NOS2;CCL2;CCL5;CCL7;CCL11;INHBB;THY1;CRTAM;CD3G;CD3E;F2;ETS1;GPR65;IL2;GBP2;GLMN;BCL10;TLR3;RPS3A;CD2;TLR2;HLA-DOB;TAP1;HLA-DOA;HLA-DRA;TNF;HLA-DMB;HLA-DMA;JAK2;CCL19;SIT1;IL4R;SOCS1;PSMB10;IFNGR2;IRF8;NCK1;LY86;KRT1;ELANE;CD28;LY75;STAT4;TLR1;TLR6;CXCL9;CXCL13;EREG;PF4;HLA-G;HLA-E;HLA-A;IL6;UBE2D1;SRGN,CD4;STAT4;B2M;IL6;KRT1;HLA-A;CXCL9;CD3E;GZMB;RPS3A;HLA-DMB;MRPL3;CCL5;PF4;CCL2,1.015135208851412,-1.713566461749071,-1.1760382934973947,0.0012168739655572418,-0.788238146230483,-0.06244987744968062,-2.7392067847914245
6,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.0150057519603236e-06,-4.888706723666479,9.135051767642913e-06,ATF6;ATP6V0D1;BAG3;CALR;CCL2;CEBPG;CNOT2;CNOT4;CNOT6;DCP1A;DCP2;DDIT4;DDX10;DNAJB9;DNAJC3;EDC4;EDEM1;EEF2;EIF2AK3;EIF2S1;EIF4A2;EIF4A3;EIF4EBP1;ERN1;EXOSC1;EXOSC2;EXOSC4;FKBP14;HSP90B1;HSPA5;HSPA9;IFIT1;KHSRP;KIF5B;LSM4;NFYB;NOLC1;NOP14;PDIA6;PREB;RRP9;SDAD1;SEC11A;SLC7A5;SPCS3;SRPRB;SSR1;STC2;TATDN2;TUBB2A;WIPI1;YIF1A;ZBTB17,DDX10;CEBPG;EXOSC2;NOLC1;DCP1A;FKBP14;EIF2S1;CNOT4;DNAJC3;SRPRB;SLC7A5;STC2;SSR1;DCP2;PREB;HSPA9;ATF6;CNOT2;TATDN2;ERN1;SPCS3;NOP14;EDC4;CNOT6;KIF5B;EIF2AK3;CCL2;PDIA6;SDAD1;TUBB2A;KHSRP,ATF6;CEBPG;SEC11A;EXOSC4;EIF4EBP1;RRP9;DCP1A;KIF5B;NFYB;HSP90B1;CALR;NOP14;CNOT2;DNAJB9;ERN1;EIF2AK3;ZBTB17;FKBP14;NOLC1;BAG3;EXOSC1;IFIT1;DDIT4;SDAD1;EIF4A2;TUBB2A;DNAJC3;PREB;PDIA6;SRPRB;SLC7A5;EDC4;TATDN2;EDEM1;EEF2;ATP6V0D1;SSR1;KHSRP;CNOT4,RRP9;TATDN2;EDEM1;SDAD1;HSPA9;ATF6;CCL2,-1.9886947278774152,0.961579829164802,-1.0157684903955246,-0.9153819022646097,0.026309128850697302,-0.034752688056404024,-2.4793661038221053
2,HALLMARK_MYC_TARGETS_V2,2.6780173979456504e-06,-4.694085711627739,2.0085130484592378e-05,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,RCL1;WDR43;SLC29A2;SUPV3L1;NOLC1;DDX18;TMEM97;MYC;BYSL;DCTPP1;NDUFAF4;PES1;MRTO4;HSPE1;FARSA;PA2G4;SLC19A1;IMP4;NOP16;PLK1;GRWD1;AIMP2;UTP20;DUSP2;SRM,DUSP2;NOP16;PES1;MCM5;DCTPP1;PLK1;GRWD1;TMEM97;DDX18;SLC29A2;WDR74;SRM;PLK4;RCL1;SLC19A1;IMP4;WDR43;PA2G4;CDK4;HSPE1;SUPV3L1;NOLC1;PPRC1;BYSL;HK2;AIMP2;SORD;NDUFAF4;FARSA;IPO4;UTP20;MAP3K6;NOC4L;MRTO4,RRP9;DDX18;FARSA,-2.386857692078753,-0.8943354057009192,-0.9973346460169606,-1.2587211609037208,-0.12174800143455028,-0.021456547375200738,-2.885008604237814
5,HALLMARK_MITOTIC_SPINDLE,1.6783565544199584e-05,-4.303875959263125,0.00010789434992699733,ABL1;ACTN4;ALMS1;ANLN;ARAP3;ARFGEF1;ARHGAP10;ARHGAP29;ARHGDIA;ARHGEF12;ARHGEF3;ARL8A;BRCA2;BUB1;CAPZB;CCNB2;CD2AP;CDC42EP1;CDC42EP2;CDC42EP4;CENPE;CENPF;CENPJ;CEP192;CEP250;CEP57;DOCK2;DOCK4;DST;DYNC1H1;DYNLL2;ECT2;ESPL1;FARP1;FGD4;FGD6;FSCN1;HOOK3;KATNB1;KIF11;KIF1B;KIF20B;KIF22;KIF2C;KIF3B;KIF3C;KIF5B;KIFAP3;KNTC1;KPTN;LATS1;LLGL1;LMNB1;LRPPRC;MAP1S;MAP3K11;MAPRE1;MARCKS;MARK4;MYH10;MYH9;MYO1E;NCK1;NEDD9;NEK2;NET1;NOTCH2;NUMA1;PAFAH1B1;PCGF5;PCM1;PIF1;PKD2;PLEKHG2;PLK1;PPP4R2;PREX1;RAB3GAP1;RABGAP1;RANBP9;RAPGEF5;RASA2;RASAL2;RFC1;RHOF;RHOT2;RICTOR;ROCK1;SAC3D1;SASS6;SHROOM1;SMC3;SOS1;SPTBN1;SSH2;STK38L;SYNPO;TAOK2;TBCD;TIAM1;TOP2A;TRIO;TUBA4A;TUBD1;TUBGCP2;TUBGCP3;WASF2;WASL,LRPPRC;KPTN;ALMS1;CEP250;ECT2;TRIO;MARCKS;MYH9;RICTOR;DOCK4;SOS1;KIF3B;ANLN;STK38L;MAPRE1;CEP57;SPTBN1;KIF2C;SASS6;CENPF;KIF3C;PCGF5;CENPE;RASAL2;ARHGEF3;MYO1E;KIF11;ESPL1;PPP4R2;CENPJ;NEK2;PLK1;BRCA2;PAFAH1B1;DYNC1H1;BUB1;KIF1B;TOP2A;KIF20B;TUBGCP3;ACTN4;ROCK1;KIF5B;CD2AP;CCNB2;WASF2;LATS1;FSCN1;LMNB1;RAPGEF5;NCK1;MARK4;RASA2;SMC3;DST;TUBD1;RAB3GAP1;CEP192;RFC1;SSH2;KNTC1;CAPZB;WASL;DOCK2;PKD2;KATNB1;SAC3D1,KNTC1;RHOF;KIFAP3;PIF1;RASAL2;ARL8A;NEK2;CENPF;HOOK3;PLEKHG2;ACTN4;ARFGEF1;RICTOR;TRIO;ARHGEF3;KIF5B;KIF3B;MAPRE1;CEP250;CAPZB;KIF2C;PREX1;WASF2;TUBGCP3;DST;NET1;FGD6;NOTCH2;MARCKS;ECT2;MARK4;PPP4R2;CCNB2;MYO1E;ANLN;FSCN1;RAPGEF5;LATS1;SOS1;SPTBN1;LRPPRC;ALMS1;CENPJ;BRCA2;CD2AP;FGD4;STK38L;KIF11;SMC3;PCGF5;KIF20B,NOTCH2;RABGAP1;DST;CEP192;KIFAP3;DOCK2;BUB1;LLGL1;STK38L;ARHGEF3;RAB3GAP1;HOOK3;PKD2,-2.1753999670417663,0.9241423828857152,-0.8262259080317622,-1.049720208625076,0.0554161464677326,-0.014080219048120571,-2.303960067494412
0,HALLMARK_E2F_TARGETS,0.00029009230383648656,-3.623990465029174,0.0016317692090802368,ASF1A;ASF1B;ATAD2;AURKB;BARD1;BRCA2;BRMS1L;BUB1B;CCNB2;CDC20;CDCA3;CDCA8;CDK4;CDKN1B;CENPE;CIT;CKS2;CTCF;DCK;DCLRE1B;DCTPP1;DIAPH3;DONSON;DSCC1;E2F8;EIF2S1;ESPL1;EXOSC8;GINS1;GINS4;HELLS;HUS1;IPO7;KIF18B;KIF22;KIF2C;LIG1;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MELK;MSH2;MYBL2;MYC;NAA38;NBN;NCAPD2;NOLC1;NUDT21;NUP107;NUP153;NUP205;PA2G4;PDS5B;PLK1;PLK4;PNN;POLA2;POLD1;POLD3;POLE4;POP7;PPM1D;PRIM2;PTTG1;RAD21;RAN;RANBP1;RFC1;RFC3;RNASEH2A;RPA1;RPA2;RPA3;SLBP;SMC3;SPAG5;SPC24;SPC25;SSRP1;STAG1;STMN1;TACC3;TIMELESS;TK1;TOP2A;TRA2B;TRIP13;TUBB;TUBG1;UBE2S;WDR90;XPO1;XRCC6,NUP205;NOLC1;RAD21;XPO1;NUP153;MYC;EIF2S1;RNASEH2A;NCAPD2;SSRP1;TACC3;E2F8;DCTPP1;KIF2C;STAG1;NUP107;NBN;CIT;CENPE;RAN;RPA1;CDC20;PRIM2;PA2G4;CTCF;MELK;MAD2L1;CDCA8;NUDT21;ESPL1;DIAPH3;HUS1;DSCC1;PLK1;SPAG5;KIF18B;BRCA2;TUBB;PDS5B;MYBL2;TRA2B;SPC24;DCK;TOP2A;SPC25;TRIP13;CDCA3;CCNB2;BUB1B;RFC3;MSH2;UBE2S;LMNB1;AURKB;POLD3;DCLRE1B;RANBP1;IPO7;SMC3;MCM6;PLK4;RFC1;CKS2;TUBG1;GINS1,CIT;SPC24;PNN;BRMS1L;ATAD2;RAD21;DSCC1;MYC;TK1;NCAPD2;CDCA3;BUB1B;TRIP13;GINS4;NBN;CDC20;CDCA8;MYBL2;STMN1;RAN;KIF2C;RPA2;GINS1;PRIM2;CDKN1B;RNASEH2A;ASF1B;TACC3;SLBP;NUP107;CCNB2;POP7;HUS1;RPA3;ASF1A;MSH2;XPO1;POLE4;BRCA2;PDS5B;RFC3;EXOSC8;DIAPH3;MCM3;SMC3;NOLC1;HELLS;TUBB;NUP153;RFC1;DCK;KIF22;SPC25;CKS2;CDK4;TIMELESS;TRA2B;PA2G4;ESPL1,MAD2L1;DCTPP1;DONSON;MCM3;MCM6;TRIP13;DCLRE1B;POLA2;CTCF;STAG1;CIT;LMNB1;NCAPD2;NUDT21;RFC1;CENPE;MELK;GINS4;XPO1;TUBB;SMC3;EIF2S1;TK1;PLK4;MSH2;RPA1;PLK1;NBN;PTTG1;RPA3;ASF1A,-2.469150535975864,1.1605225651781572,1.2958411191376082,-1.2663911534615853,6.121953250916426e-17,3.989716703369949e-17,-2.449489742783178
31,HALLMARK_APICAL_JUNCTION,0.007020255067615043,-2.6958819062060955,0.035101275338075215,ACTA1;ACTB;ACTC1;ACTG1;ACTG2;ACTN2;ACTN3;ACTN4;ADAM23;ADAMTS5;ADRA1B;AKT2;AMH;AMIGO1;ATP1A3;B4GALT1;BMP1;CD86;CDH1;CDH11;CDH15;CDH3;CDH4;CDH6;CDH8;CDK8;CERCAM;CLDN11;CLDN15;CLDN18;CLDN7;COL16A1;COL17A1;COL9A1;CTNNA1;CX3CL1;EGFR;EVL;EXOC4;FBN1;FSCN1;GNAI1;GNAI2;GTF2F1;HADH;ICAM1;ICAM5;INPPL1;ITGA10;ITGA2;ITGA9;JAM3;KRT31;LAYN;LDLRAP1;MAP4K2;MAPK13;MMP2;MMP9;MVD;MYH10;MYH9;NEGR1;NEXN;NLGN2;NRTN;PARVA;PBX2;PCDH1;PFN1;PIK3CB;PPP2R2C;PTEN;RAC2;RHOF;RRAS;SDC3;SKAP2;SLC30A3;SLIT2;SORBS3;SPEG;STX4;SYMPK;TAOK2;TGFBI;THBS3;THY1;TNFRSF11B;TRAF1;TUBG1;VASP;VWF;WASL;WNK4;YWHAH,ICAM5;CDH6;ADRA1B;BMP1;RRAS,RHOF;THBS3;ACTN2;ACTA1;TNFRSF11B;VWF;ACTN4;CDH6;PTEN;CDH4;GNAI2;LDLRAP1;NEGR1;MMP9;COL9A1;COL16A1;SDC3;ICAM1;ICAM5;ITGA10;NRTN;GTF2F1;PPP2R2C;CLDN11;AKT2;VASP;SYMPK;GNAI1;FBN1;ACTC1;EGFR;CLDN15;ACTB;FSCN1,B4GALT1;MYH9;RRAS;CDH3;PBX2;INPPL1;CDK8;CDH11;CDH1;PFN1;CDH6;NEXN;CLDN15;GNAI2;ACTN3;ACTN2;JAM3;SYMPK;ACTB;ITGA10;KRT31;EVL;YWHAH;CLDN11;SKAP2;CDH4;CTNNA1;FSCN1;NEGR1,0.6177793263097534,0.5578001031294816,0.6816561504867156,0.0025063332455467187,0.009665333764954043,1.9976657865089065e-17,3.4317980432663457
7,HALLMARK_MTORC1_SIGNALING,0.009525652689428853,-2.59258901513222,0.04286543710242984,ABCF2;ACTR3;ADIPOR2;ARPC5L;ATP6V1D;BCAT1;BHLHE40;BTG2;BUB1;CALR;CCNF;CD9;COPS5;CORO1A;CTSC;CXCR4;CYB5B;DAPP1;DDIT4;DHCR24;EDEM1;EGLN3;EIF2S2;ELOVL5;ENO1;ETF1;FADS1;FADS2;GAPDH;GBE1;GCLC;GGA2;GMPS;GOT1;GPI;GSR;HK2;HMBS;HSP90B1;HSPA4;HSPA5;HSPA9;HSPE1;IDI1;IFI30;IGFBP5;LDLR;LTA4H;MAP2K3;MCM2;ME1;MLLT11;MTHFD2L;NAMPT;NMT1;NUFIP1;NUP205;PDAP1;PDK1;PGM1;PHGDH;PITPNB;PLK1;PNO1;PNP;POLR3G;PPA1;PPIA;PPP1R15A;PSMC2;PSMC6;PSMD14;QDPR;RDH11;RIT1;RPA1;RPN1;RRP9;SCD;SDF2L1;SEC11A;SERPINH1;SKAP2;SLC2A1;SLC7A11;SLC7A5;SLC9A3R1;SORD;SQLE;SRD5A1;SSR1;STARD4;STC1;STIP1;TES;TM7SF2;TMEM97;TUBA4A;TUBG1;TXNRD1;UCHL5;UFM1;USO1;YKT6,SLC9A3R1;ADIPOR2;HSPA4;UCHL5;ME1;PITPNB;NUP205;SRD5A1;GPI;ETF1;SQLE;GMPS;STIP1;TMEM97;ABCF2;GAPDH;ACTR3;QDPR;NUFIP1;ENO1;TXNRD1;SLC7A5;SSR1;PNO1;CCNF;HSPA9;PPIA;HSPE1;GOT1;RPA1;YKT6;SCD;RIT1;PLK1;IDI1;GSR;BUB1;MAP2K3;COPS5;USO1;EIF2S2;DHCR24;SKAP2;GBE1;PSMC6;PGM1;POLR3G;PHGDH;DAPP1;LDLR;HMBS;PSMD14,RIT1;GPI;SEC11A;MLLT11;UCHL5;BTG2;LDLR;EGLN3;SQLE;ADIPOR2;GAPDH;CD9;SRD5A1;COPS5;RRP9;EIF2S2;SLC2A1;PGM1;DHCR24;IDI1;GMPS;TXNRD1;HSP90B1;LTA4H;PSMC6;PNP;CALR;PHGDH;ME1;GBE1;SORD;YKT6;PSMC2;NAMPT;PDAP1;PPIA;PNO1;HK2;ELOVL5;UFM1;NUFIP1;BCAT1;GCLC;PPA1;SCD;GOT1;DDIT4;SKAP2;QDPR;MTHFD2L;USO1;HSPE1;PSMD14;PDK1,RRP9;RPN1;ADIPOR2;EDEM1;BUB1;HSPA9;QDPR;UFM1;PPIA;USO1;ELOVL5;COPS5;BHLHE40;MTHFD2L;PHGDH;NMT1;CALR;PPA1;STIP1;IGFBP5;BTG2;PNO1;TXNRD1;PSMC2;YKT6;STC1;FADS1;GPI;ACTR3;TM7SF2;SSR1;CXCR4;GBE1;HSPA5;SRD5A1;TUBG1,-1.7636423998799535,0.8058923174031689,-1.2386413182981622,-0.7083689446549419,0.0199581484299689,-0.14519634140251889,-3.0872578498785814
9,HALLMARK_ANDROGEN_RESPONSE,0.07726946191861739,-1.7667538423348046,0.2897604821948152,ABCC4;ADAMTS1;AKAP12;ALDH1A3;ANKH;APPBP2;ARID5B;B2M;B4GALT1;BMPR1B;CCND1;DHCR24;DNAJB9;ELL2;ELOVL5;FADS1;GNAI3;GPD1L;GSR;HERC3;HSD17B14;IDI1;IQGAP2;KRT19;KRT8;LMAN1;MAK;MAP7;MERTK;NKX3-1;PA2G4;PGM3;PIAS1;PTPN21;RAB4A;SCD;SEC24D;SGK1;SLC26A2;SLC38A2;SORD;SPCS3;SPDEF;SRF;SRP19;STEAP4;STK39;TMEM50A;TNFAIP8;TSC22D1;UBE2J1;XRCC5;XRCC6;ZMIZ1,ANKH;GNAI3;NKX3-1;SRF;SLC26A2;PA2G4;APPBP2;SCD;ARID5B;IDI1;SLC38A2;GSR;SPCS3;AKAP12;MAK;GPD1L;DHCR24;STK39;SGK1;PIAS1;IQGAP2;BMPR1B;ABCC4;XRCC5;ELL2;MERTK;FADS1;TNFAIP8;XRCC6;SPDEF,PIAS1;ALDH1A3;RAB4A;ANKH;TMEM50A;DHCR24;IDI1;AKAP12;PGM3;UBE2J1;SORD;B2M;STEAP4;DNAJB9;SGK1;MAP7;ELOVL5;SRF;TSC22D1;SCD;ZMIZ1;ARID5B;LMAN1;STK39;PA2G4;SLC38A2;KRT8;ABCC4;GSR;NKX3-1;GPD1L;ADAMTS1;B4GALT1;SPDEF;MAK;SEC24D;GNAI3;SPCS3;BMPR1B;HERC3;PTPN21;FADS1;APPBP2,B4GALT1;TSC22D1;STK39;ARID5B;MAP7;DHCR24;PIAS1;PGM3;SEC24D;SLC26A2;RAB4A;ALDH1A3;ZMIZ1;SLC38A2;GNAI3;SCD,-1.3990693008015784,0.8527982198457998,0.7716237979753956,-0.5281730477512879,0.04104974306694008,2.2231662541709198e-17,-2.170059288502152
