,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.230077477278761e-09,-5.980094835876693,1.0035348647754423e-07,ABI3BP;ANPEP;AREG;BASP1;BMP1;CAP2;CAPG;CDH11;CDH2;CDH6;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL7A1;COL8A2;COMP;CRLF1;CTHRC1;CXCL1;CXCL6;DAB2;DKK1;DPYSL3;DST;EDIL3;EFEMP2;EMP3;ENO2;FAP;FBLN5;FBN1;FBN2;FGF2;FMOD;FSTL1;FSTL3;FUCA1;GADD45A;GADD45B;GLIPR1;GPC1;GPX7;GREM1;HTRA1;ID2;IGFBP2;IGFBP4;IL6;INHBA;ITGA2;ITGA5;ITGB3;ITGB5;LAMA1;LAMC1;LGALS1;LOX;LOXL1;LOXL2;LRP1;LUM;MATN3;MFAP5;MGP;MMP14;MMP2;MSX1;NID2;NOTCH2;NT5E;NTM;OXTR;PCOLCE;PCOLCE2;PDGFRB;PLOD1;PLOD3;PPIB;SCG2;SDC4;SERPINH1;SFRP1;SFRP4;SGCB;SGCG;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;TFPI2;TGFB1;TGFBI;TGFBR3;THBS1;THBS2;THY1;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM4;VEGFC;VIM;WNT5A,ITGA5;FBLN5;FBN1;SLIT3;LOX;EMP3;DPYSL3;PCOLCE2;VIM;SFRP4;EFEMP2;GADD45A;FSTL1;NOTCH2;LOXL1;BASP1;SGCB;ABI3BP;CAP2;FSTL3;PDGFRB;COL8A2;GPX7;TNC;MSX1;GADD45B;COL16A1;FGF2;MATN3;TGFB1;COL6A2;FMOD;VEGFC;OXTR;PLOD1;TFPI2;CAPG;LGALS1;MFAP5;COL4A1;CTHRC1;SPOCK1;ANPEP;NT5E;SFRP1;THBS2;COMP;CDH11;MMP2;CDH2;PCOLCE;IGFBP4;SLIT2;COL3A1;LUM;FAP;SPARC;IGFBP2;MGP;LAMC1;COL5A3;COL4A2;GPC1;SNTB1;THBS1;CRLF1;TGFBR3;FBN2;DAB2;ID2;ITGB3;GLIPR1,INHBA;SFRP4;IL6;NTM;SNTB1;TNFRSF11B;CTHRC1;SDC4;CAP2;LGALS1;COL6A2;EMP3;TGFB1;COL5A2;COL3A1;CRLF1;COMP;TPM4;COL5A3;FAP;NOTCH2;LAMC1;SCG2;IGFBP2;GPC1;CDH11;FSTL3;COL4A2;COL4A1,PCOLCE2;IL6;ITGB3;GPC1;COL3A1;LOXL1;LAMC1;THBS2;PDGFRB;TNC;COL1A2;CXCL1;BMP1;COL4A2;COL5A2;ITGA5;CAP2;VEGFC;CRLF1;CDH11;SCG2;ITGA2;GADD45A;FAP;CDH2;IGFBP4;FBN2;MFAP5;HTRA1;INHBA;DST;THBS1;SGCG;AREG;TGFBI;FBN1;TGFB1;ABI3BP;SFRP1;SLIT2;EFEMP2;DKK1;DPYSL3;COMP;TPM4;TGFBR3;LGALS1;FSTL3;CTHRC1;PLOD3;THY1;SGCB;SDC4;SLIT3;FMOD;COL8A2;EMP3;CXCL6,-1.444290855769271,1.0448437459688182,-1.4629659681095764,-0.48371784241623433,0.0322526444918531,-0.44642458899675413,-4.413117524643505
28,HALLMARK_ADIPOGENESIS,8.80045022258783e-09,-5.752363148152446,1.9801013000822615e-07,ABCA1;ABCB8;ACAA2;ACADL;ACADS;ACO2;ADIG;ADIPOQ;ADIPOR2;ALDH2;ANGPT1;APOE;ATP1B3;BAZ2A;BCL2L13;C3;CAT;CCNG2;CD302;CHCHD10;CHUK;COL15A1;COL4A1;COQ3;COQ5;COQ9;COX6A1;COX8A;CPT2;CS;CYC1;DBT;DECR1;DHRS7;DHRS7B;DLAT;DLD;DNAJB9;DNAJC15;DRAM2;ECH1;ECHS1;EPHX2;ESRRA;ESYT1;ETFB;FAH;FZD4;GADD45A;GBE1;GHITM;GPAM;GPX3;GRPEL1;HADH;HSPB8;IDH3A;IFNGR1;ITGA7;JAGN1;LIPE;LPCAT3;LPL;LTC4S;MAP4K3;MCCC1;MDH2;ME1;MGST3;MRPL15;MTCH2;NDUFA5;NDUFAB1;NDUFB7;NKIRAS1;NMT1;PEMT;PEX14;PFKFB3;PGM1;PLIN2;POR;PPP1R15B;PREB;PTCD3;QDPR;REEP5;REEP6;RETSAT;RIOK3;RNF11;SAMM50;SCP2;SDHB;SLC19A1;SLC25A1;SLC25A10;SLC27A1;SNCG;SOD1;STAT5A;SUCLG1;SULT1A1;TALDO1;TANK;TST;UCP2;UQCRC1;UQCRQ;VEGFB;YWHAG,ACAA2;REEP6;SLC25A1;TST;ESRRA;COX8A;ABCB8;CYC1;ETFB;SLC19A1;DECR1;MTCH2;PPP1R15B;DNAJC15;UQCRC1;SOD1;COQ9;UQCRQ;ATP1B3;MRPL15;HADH;SCP2,CYC1;ANGPT1;ADIG;DECR1;SOD1;TST;MGST3;SLC25A1;BCL2L13;SLC19A1;PPP1R15B;ECH1;LIPE;APOE;NDUFB7;C3;CD302;TANK;SLC27A1;ACADL;REEP6;SULT1A1;COL4A1;ABCB8;CAT;MTCH2;COQ9;DNAJC15;UCP2;DLAT;VEGFB;ESRRA;COX8A;ETFB;MRPL15;FZD4;TALDO1,ECH1;CCNG2;SULT1A1;CD302;NKIRAS1;TANK;GBE1;PTCD3;PREB;DLD;ITGA7;HADH;SCP2;ACO2;BAZ2A;DNAJC15;COQ5;DBT;LPL;NDUFB7,0.8598409679822586,0.8443455979196376,0.6268570504534686,0.030107786367056306,2.6967660490824152e-17,1.1529622077548408e-17,2.4494897427831823
39,HALLMARK_ANDROGEN_RESPONSE,2.454365266094722e-07,5.16115067816262,3.6815478991420826e-06,ABCC4;ADAMTS1;AKAP12;ALDH1A3;ANKH;APPBP2;ARID5B;B2M;B4GALT1;BMPR1B;CCND1;DHCR24;DNAJB9;ELL2;ELOVL5;FADS1;GNAI3;GPD1L;GSR;HERC3;HSD17B14;IDI1;IQGAP2;KRT19;KRT8;LMAN1;MAK;MAP7;MERTK;NKX3-1;PA2G4;PGM3;PIAS1;PTPN21;RAB4A;SCD;SEC24D;SGK1;SLC26A2;SLC38A2;SORD;SPCS3;SPDEF;SRF;SRP19;STEAP4;STK39;TMEM50A;TNFAIP8;TSC22D1;UBE2J1;XRCC5;XRCC6;ZMIZ1,SLC26A2;KRT8;MAP7;IDI1;SCD,GSR;NKX3-1;LMAN1;SORD;B2M,MERTK;CCND1;SPCS3;ELOVL5;PGM3;DHCR24;HSD17B14;SLC38A2;PIAS1;RAB4A;GPD1L;GSR,0.8957990149955747,-0.7555089179469516,1.1283490320434073,0.012340718523682835,-0.0035899107095881937,0.05594594069229756,2.968563854275161
26,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,6.311056247759593e-07,-4.981447023670157,7.0999382787295416e-06,ATOX1;CAT;FTL;GCLC;GCLM;GPX3;GSR;HHEX;LSP1;MPO;NDUFA6;OXSR1;PDLIM1;PFKP;PRDX6;SBNO2;SOD1;SRXN1;STK25;TXN;TXNRD1;TXNRD2,SRXN1;PDLIM1;SOD1;TXNRD1,SRXN1;SOD1;TXNRD2;FTL;PRDX6;STK25;SBNO2;CAT,SBNO2;NDUFA6;GSR;TXNRD1;GCLC;CAT;MPO;SOD1;GCLM;TXN,0.8512708350660912,0.9655693763447106,0.4590503625356494,0.02900361123907484,0.009634528661137894,0.0005937968831040622,3.82256143379609
31,HALLMARK_MITOTIC_SPINDLE,1.3342685210373765e-06,-4.834580279161614,1.2008416689336389e-05,ABL1;ACTN4;ALMS1;ANLN;ARAP3;ARFGEF1;ARHGAP10;ARHGAP29;ARHGDIA;ARHGEF12;ARHGEF3;ARL8A;BRCA2;BUB1;CAPZB;CCNB2;CD2AP;CDC42EP1;CDC42EP2;CDC42EP4;CENPE;CENPF;CENPJ;CEP192;CEP250;CEP57;DOCK2;DOCK4;DST;DYNC1H1;DYNLL2;ECT2;ESPL1;FARP1;FGD4;FGD6;FSCN1;HOOK3;KATNB1;KIF11;KIF1B;KIF20B;KIF22;KIF2C;KIF3B;KIF3C;KIF5B;KIFAP3;KNTC1;KPTN;LATS1;LLGL1;LMNB1;LRPPRC;MAP1S;MAP3K11;MAPRE1;MARCKS;MARK4;MYH10;MYH9;MYO1E;NCK1;NEDD9;NEK2;NET1;NOTCH2;NUMA1;PAFAH1B1;PCGF5;PCM1;PIF1;PKD2;PLEKHG2;PLK1;PPP4R2;PREX1;RAB3GAP1;RABGAP1;RANBP9;RAPGEF5;RASA2;RASAL2;RFC1;RHOF;RHOT2;RICTOR;ROCK1;SAC3D1;SASS6;SHROOM1;SMC3;SOS1;SPTBN1;SSH2;STK38L;SYNPO;TAOK2;TBCD;TIAM1;TOP2A;TRIO;TUBA4A;TUBD1;TUBGCP2;TUBGCP3;WASF2;WASL,ANLN;SHROOM1;PLK1;MAP3K11;KATNB1;MAP1S;MYO1E;KPTN;TUBA4A;STK38L;CENPF;BUB1;LMNB1;CCNB2;CENPE;KIF22;NEK2;KIF11;ARHGDIA;ACTN4;PIF1;KIF20B;ECT2;KIF2C;TAOK2;NUMA1;SAC3D1;ARFGEF1;CDC42EP2;NET1;ESPL1;RANBP9;TOP2A;CEP250;RHOT2;CDC42EP1;SPTBN1;RHOF;RAPGEF5;CD2AP;KIF3B;RASAL2,ANLN;RAPGEF5;FSCN1;CEP250;PREX1;MAPRE1;KIF3B;NEDD9;RANBP9;MYH9;TIAM1;RASAL2;CDC42EP1;NEK2;CENPF;PLEKHG2;ACTN4;ARL8A;MARK4;KPTN;BUB1;RAB3GAP1;NOTCH2;KIFAP3;MAP1S;TUBA4A;FARP1;TAOK2;KIF22;TUBGCP3;KATNB1;SAC3D1;CENPJ,TUBD1;PIF1;MYH9;KIFAP3;SHROOM1;HOOK3;RAPGEF5;RASAL2;MYH10;KIF20B;LATS1;ARFGEF1;RAB3GAP1;KNTC1;SMC3;STK38L;PCGF5;RANBP9;MARCKS;LRPPRC;NUMA1;CEP192;ECT2,0.7932139687170864,1.0395626058065048,0.6278710688917775,0.04715519801994888,0.038209306373423124,1.3458191906521959e-17,4.8202174813550425
22,HALLMARK_PEROXISOME,0.00016471253099979106,3.7677697271361823,0.001235343982498433,ABCB1;ABCC5;ABCC8;ABCD2;ACSL1;ALB;ALDH9A1;BCL10;CACNA1B;CAT;CDK7;CEL;CLN6;CLN8;CRABP1;CRABP2;DHCR24;DHRS3;ECH1;ELOVL5;EPHX2;ERCC3;FADS1;FIS1;HSD11B2;HSD17B11;HSD17B4;IDE;IDH2;IDI1;ISOC1;LONP2;MLYCD;MSH2;PABPC1;PEX11A;PEX14;PEX6;RDH11;RETSAT;SCP2;SEMA3C;SERPINA6;SLC25A17;SLC25A4;SLC35B2;SMARCC1;SOD1;SULT2B1;TOP2A;TTR;VPS4B;YWHAH,ABCB1;BCL10;SULT2B1;MLYCD;CLN6;IDI1;YWHAH;SOD1;PABPC1;CDK7;SCP2;RDH11;RETSAT;SLC35B2;HSD17B11;SMARCC1;TOP2A;SEMA3C,PABPC1;YWHAH;SOD1;CRABP2;ALDH9A1;ECH1;SULT2B1;ERCC3;CAT;LONP2;HSD11B2;MLYCD;FADS1;CACNA1B;ABCC8,SERPINA6;ABCD2;HSD17B11;ALB;IDI1;BCL10;PEX6;SULT2B1;CDK7;CRABP1;EPHX2;PEX11A;FADS1;ABCB1,1.0178018153907076,0.7048511601359817,-0.4250470959948672,0.07663809926721821,1.950218207484564e-17,-1.1061300688280687e-17,2.4494897427831783
16,HALLMARK_MYC_TARGETS_V2,0.0012323616683781245,3.231282284828975,0.00792232501100223,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,AIMP2;IPO4;WDR74;HSPE1;HK2;NOC4L;TMEM97;SLC29A2;DCTPP1;PLK1;NOP16;DDX18;PES1;SLC19A1;MCM5;FARSA;PA2G4;IMP4;MRTO4;DUSP2;GRWD1;RRP9;MYC;CDK4;NOLC1;NDUFAF4,AIMP2;MYC;MCM5;PES1;SLC19A1;DUSP2;GRWD1;DDX18;HSPE1;FARSA;IMP4,PPRC1;DDX18;NOLC1;MYC;TMEM97;HSPE1;SUPV3L1,1.8842283680511271,1.1876944830775735,-0.4662997361528798,0.4859778255259892,0.06589916377466053,-9.19849597215773e-18,2.960558284845144
5,HALLMARK_PANCREAS_BETA_CELLS,0.00256000278256344,3.0161574641829296,0.014400015651919349,ABCC8;CHGA;DPP4;ELP4;FOXO1;GCK;HNF1A;ISL1;NEUROD1;NEUROG3;NKX2-2;NKX6-1;PAX4;PCSK1;PCSK2;PDX1;SCGN;SEC11A;SLC2A2;SRP14;SRPRB;SST;SYT13,PAX4;NEUROG3;PDX1;NKX2-2,PDX1;GCK;NKX2-2;PCSK2;SCGN,ISL1;PDX1;NEUROG3;SST;NKX2-2;NEUROD1;SEC11A;ELP4;SRPRB,2.384607913193998,1.4666660272886851,1.0363648938501897,0.2422937538523434,0.26210540691368395,0.04194444173277765,6.343861262915748
12,HALLMARK_G2M_CHECKPOINT,0.0072893962451017575,2.683325694626931,0.03644698122550879,ABL1;AURKB;BARD1;BCL3;BRCA2;BUB1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC6;CDK4;CDKN1B;CENPE;CENPF;CHAF1A;CKS2;CTCF;CUL1;CUL3;CUL5;DBF4;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;FANCC;GINS2;HIRA;HMGN2;HOXC10;HUS1;KIF11;KIF20B;KIF22;KIF2C;KIF5B;KPNB1;LMNB1;MAD2L1;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MNAT1;MT2A;MYBL2;MYC;NCL;NEK2;NOLC1;NOTCH2;NUMA1;ODC1;ODF2;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;POLA2;POLQ;PRIM2;PRPF4B;PTTG1;RAD21;RAD23B;RASAL2;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC7A1;SLC7A5;SMAD3;SMARCC1;SNRPD1;SQLE;STAG1;STMN1;TACC3;TGFB1;TOP1;TOP2A;TRA2B;TRAIP;TROAP;UBE2S;UCK2;UPF1;WRN;XPO1,SQLE;HUS1;SLC12A2;MYBL2;CCNA2;E2F4;PLK1;POLA2;PRPF4B;CCNF;UPF1;NCL;UBE2S;CENPF;BCL3;BUB1;ODC1;RBM14;GINS2;LMNB1;MCM5;CCNB2;CENPE;E2F3;KIF22;CHAF1A;MAD2L1;NEK2;KIF11;HIRA;MCM6;E2F1;KIF20B;E2F2;SLC7A5;PBK;CKS2;TROAP;KIF2C;CDC6;TACC3;BARD1;NUMA1;RAD21;SFPQ;SNRPD1;MYC;CTCF;CDK4;SMARCC1;ESPL1;TOP2A;NOLC1;POLQ;UCK2;CDC20;TRAIP;RASAL2;TOP1;FANCC;ODF2;ABL1;PLK4;PTTG1;SLC7A1;SAP30,HUS1;SQLE;RAD21;MYC;MYBL2;E2F1;TOP1;PRPF4B;E2F3;UBE2S;MCM5;UCK2;RASAL2;HIRA;NEK2;CENPF;BCL3;TGFB1;BUB1;UPF1;MCM6;NOTCH2;CUL3;NCL;BARD1;MT2A;E2F4;KIF22;CUL1;PDS5B;BRCA2;SLC7A1;CTCF;GINS2;SLC7A5;NUMA1;CCND1;CHAF1A;POLA2;RBM14,MEIS1;PAFAH1B1;GINS2;ODF2;E2F3;HUS1;SLC12A2;NOLC1;SQLE;DBF4;ESPL1;TOP1;MYC;EFNA5;STMN1;TGFB1;PRPF4B;CHAF1A;CENPE;CCNB2;ODC1;CDC6;EGF;CDKN1B,1.5782834737471063,1.0558378542769074,-0.5163630761809791,0.42276793305167987,0.06360050404227337,-1.2221902061314918e-17,3.0173978930760676
13,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.008849067614822568,2.617830779785159,0.03982080426670156,ABCA1;AREG;B4GALT1;B4GALT5;BCL3;BHLHE40;BIRC2;BMP2;BTG1;BTG2;CCL2;CCL5;CCND1;CCNL1;CD80;CSF2;CXCL1;CXCL2;CXCL3;CXCL6;DENND5A;DNAJB4;DRAM1;DUSP1;DUSP2;DUSP5;EGR1;EGR3;EHD1;EIF1;ETS2;F2RL1;F3;FOS;FOSL1;FOSL2;GADD45A;GADD45B;GFPT2;HBEGF;HES1;ICAM1;ID2;IER2;IER3;IFIT2;IFNGR2;IL12B;IL1A;IL1B;IL23A;IL6;IL7R;INHBA;IRF1;IRS2;JAG1;KDM6B;KLF10;KLF2;KLF4;KLF9;KYNU;LDLR;LIF;MAP2K3;MAP3K8;MARCKS;MSC;MXD1;MYC;NAMPT;NFKBIA;NFKBIE;NINJ1;NR4A2;OLR1;PANX1;PER1;PFKFB3;PLEK;PLK2;PNRC1;PPP1R15A;PTGER4;PTGS2;REL;RELB;RIPK2;SDC4;SGK1;SMAD3;SNN;SOCS3;SPSB1;STAT5A;TANK;TAP1;TIPARP;TLR2;TNC;TNF;TNFAIP2;TNFAIP3;TNFAIP6;TNFAIP8;TNFRSF9;TNFSF9;TNIP1;TRAF1;TRIB1;TRIP10;TSC22D1;TUBB2A;YRDC;ZC3H12A;ZFP36,IL1A;CXCL1;CXCL3;IER3;ZC3H12A;LIF;FOSL1;IER2;KLF10;HBEGF;AREG;F2RL1;HES1;LDLR;PPP1R15A;MAP2K3;YRDC;MXD1;IFNGR2;BTG2;KLF4;BCL3;TRIP10,INHBA;IL6;TRIB1;MYC;KLF10;B4GALT5;SDC4;TUBB2A;JAG1;BMP2;RIPK2;IFNGR2;ETS2;PTGS2;LIF;DUSP2;ZFP36;PPP1R15A;RELB;BCL3;IER2;LDLR;TNFSF9;ICAM1;TRIP10;KYNU;TANK;NR4A2;TNFAIP6;KLF2,IL6;TNC;KYNU;CXCL1;OLR1;SNN;CD80;IL12B;GADD45A;TSC22D1;PLEK;IL7R;CXCL3;CSF2;HBEGF;INHBA;CXCL2;RELB;MYC;MAP2K3;AREG;PTGER4;LDLR;SGK1;IFIT2;IRS2;DRAM1;FOSL2;ZC3H12A;ETS2,1.6379640655118586,1.083164052049494,-0.5886729292802679,0.15209857083175216,0.07889546765347596,-1.4918032286726925e-17,4.294565904992296
18,HALLMARK_UV_RESPONSE_UP,0.015601824373139365,2.4180991631730917,0.06382564516284286,ABCB1;APOM;ATP6V1F;BMP2;BTG1;BTG2;CA2;CCK;CDC34;CDC5L;CDO1;CEBPG;CHRNA5;CNP;CREG1;CXCL2;CYB5B;CYB5R1;CYP1A1;DDX21;DNAJB1;ENO2;EPCAM;FGF18;FKBP4;FMO1;FOS;FURIN;GAL;GGH;GLS;GPX3;GRPEL1;HMOX1;HSPA13;ICAM1;IGFBP2;IL6;IRF1;KLHDC3;LHX2;MMP14;MRPL23;MSX1;NFKBIA;NPTX2;NPTXR;OLFM1;ONECUT1;PDAP1;PLCL1;POLG2;POLR2H;PPAT;PPIF;PPP1R2;PRKACA;PRPF3;PSMC3;RPN1;RXRB;SLC25A4;SPR;STIP1;STK25;SULT1A1;TACR3;TAP1;TCHH;TST;TUBA4A;TYRO3;UROD;WIZ;YKT6,DNAJB1;CYB5B;ABCB1;TST;YKT6;EPCAM;TCHH;CEBPG;BTG2;TUBA4A;WIZ;PRPF3;MRPL23;PSMC3;STIP1;BMP2;CDC34;SPR;CHRNA5;GGH,YKT6;IL6;CA2;BMP2;HMOX1;HSPA13;TST;NPTXR;PRKACA;DNAJB1;WIZ;PLCL1;GLS;ICAM1;CEBPG;CREG1;FMO1;TCHH;PRPF3;TUBA4A;IGFBP2;STK25;SULT1A1;PSMC3;APOM;TAP1;RXRB;CYB5B;CDC34;GAL;STIP1;CYB5R1;BTG2;OLFM1;GGH,IL6;YKT6;NPTXR;CDO1;FMO1;GPX3;CXCL2;PLCL1;TYRO3;GGH;OLFM1;TST;CYB5B;CYP1A1,1.1726737901470878,1.1645484789272784,-0.5699594895193248,0.12300393779224619,0.1228420572044652,-1.0829956124502613e-17,4.898976299463983
3,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.022933983465249004,2.274532597713143,0.08600243799468377,A2M;CBL;CCL7;CD38;CD9;CSF2;CSF2RB;CXCL1;CXCL13;CXCL3;CXCL9;EBI3;HMOX1;IFNAR1;IFNGR1;IFNGR2;IL10RB;IL17RA;IL17RB;IL18R1;IL1B;IL1R1;IL2RA;IL4R;IL6;IL7;INHBE;IRF1;IRF9;ITGA4;ITGB3;LTBR;MAP3K8;MYD88;OSMR;PDGFC;PF4;PIM1;PTPN1;PTPN11;REG1A;SOCS1;SOCS3;STAM2;STAT2;TGFB1;TLR2;TNF;TNFRSF12A;TNFRSF1A;TNFRSF1B;TNFRSF21;TYK2,CXCL1;CXCL3;PF4;IL7,IL6;IL7;PTPN1;HMOX1;CSF2RB;IL10RB;IFNAR1;IFNGR2;IL17RA;TGFB1;IL1R1;TYK2;ITGA4;STAM2;IL18R1;IL4R;TNF;EBI3,CD38;STAT2;SOCS3,1.5279151923339385,1.162326501529886,1.5515925362146017,0.07430202492099837,0.12280883451714052,0.036767487809823134,7.667501919345766
25,HALLMARK_COAGULATION,0.06810386788715048,-1.824318945275712,0.2357441580709055,A2M;ACOX2;ANXA1;APOA1;APOC1;APOC2;APOC3;ARF4;BMP1;C1QA;C1R;C3;C8A;C8B;C8G;CAPN2;CAPN5;CD9;CFB;CFD;CFH;CFI;COMP;CPN1;CRIP2;CTSK;CTSO;DPP4;DUSP14;F10;F11;F12;F13B;F2;F3;FBN1;FGA;FURIN;GDA;GNB2;GNG12;GP1BA;GP9;HTRA1;ITGA2;ITGB3;KLF7;KLKB1;LEFTY2;LRP1;LTA4H;MASP2;MMP10;MMP11;MMP14;MMP15;MMP2;MMP7;MMP8;MMP9;MSRB2;OLR1;PDGFB;PEF1;PF4;PLEK;PREP;PROC;PROZ;PRSS23;RABIF;SERPINC1;SH2B2;SPARC;TF;TFPI2;THBS1;TMPRSS6;VWF,PF4;PREP;PROC;MMP15;GP9;CAPN5,MMP9;TMPRSS6;CFH;F13B;LEFTY2;CAPN2;APOC2;APOC1;PROC;COMP;C3;DPP4;SERPINC1;CTSK;KLF7;CFD;PROZ;F10;MMP15;MMP2;CFB;APOA1;APOC3;RABIF;C8G;F2;CAPN5;PRSS23;MMP10;MMP8;MMP7,KLKB1;ITGB3;F13B;F11;F10;CFI;BMP1;CFH;OLR1;APOC2;SERPINC1;C8B;C8A;APOC3;MASP2;ITGA2;PLEK;A2M;C1QA;CRIP2;MMP7;HTRA1;C1R;PROC;THBS1;FBN1;MMP8;MMP10;PREP;GP1BA;C8G;COMP;TMPRSS6;GDA;CTSO;PRSS23;ARF4,0.7702629917106368,0.8463231791493839,-1.285968334059244,0.011906877698005674,3.110406255661488e-17,-0.3342637833161201,-2.3198340624952336
32,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.08926959191492978,1.6992632591655448,0.23630186095128472,ACTR3;ADCY2;ARHGDIA;ARPC3;ATF1;CALR;CAMK4;CDK4;CDKN1B;CFL1;CLTC;CSNK2B;CXCR4;DAPP1;DUSP3;E2F1;EGFR;FGF17;FGF22;FGF6;GNA14;HSP90B1;ITPR2;MAP2K3;MAP2K6;MYD88;NCK1;NGF;NOD1;PDK1;PFN1;PIKFYVE;PIN1;PLA2G12A;PPP2R1B;PRKAA2;PRKAR2A;PTEN;PTPN11;RAF1;RALB;RIPK1;RIT1;RPS6KA1;SLC2A1;STAT2;THEM4;TIAM1;TNFRSF1A;TRAF2;UBE2N;VAV3,CFL1;CSNK2B;PPP2R1B;MAP2K3;VAV3;RALB;TRAF2;ACTR3;ARPC3;UBE2N;ARHGDIA;RPS6KA1;E2F1,EGFR;NOD1;E2F1;RIPK1;VAV3;TIAM1;RALB;ACTR3;CALR;PIN1;CXCR4;RIT1;THEM4;PIKFYVE,ATF1;TIAM1;VAV3;FGF22;ADCY2;FGF6;MAP2K3;RPS6KA1;CLTC,0.9685823952949876,1.12425645903368,-0.5935181587698548,0.03911000856669308,0.08604361082861163,-1.0518629311546546e-17,4.108394885204746
23,HALLMARK_COMPLEMENT,0.0812438647074676,-1.7435140359002546,0.23630186095128472,ACTN2;AKAP10;ANXA5;APOA4;APOC1;ATOX1;BRPF3;C1QA;C1R;C3;CA2;CALM3;CBLB;CCL5;CDA;CDH13;CDK5R1;CFB;CFH;COL4A2;CP;CTSC;CTSO;CTSS;CXCL1;DOCK10;DOCK4;DPP4;DUSP5;EHD1;F10;F2;F3;F5;FCER1G;FCN1;FDX1;GCA;GMFB;GNAI2;GNAI3;GNB2;GNB4;GNG2;GNGT2;GP1BA;GP9;GZMA;GZMB;GZMK;HPCAL4;HSPA5;IL6;IRF1;IRF2;JAK2;KCNIP3;KLK1;KLKB1;KYNU;L3MBTL4;LAP3;LCP2;LRP1;LTA4H;LTF;ME1;MMP13;MMP14;MMP15;MMP8;MT3;NOTCH4;OLR1;PCLO;PCSK9;PDGFB;PFN1;PIK3CG;PIM1;PLA2G4A;PLEK;PLSCR1;PPP4C;PRDM4;PREP;PRSS3;PRSS36;RABIF;RAF1;RHOG;RNF4;S100A12;S100A9;SERPINC1;SH2B3;SIRT6;SPOCK2;STX4;TFPI2;TIMP2;TMPRSS6;TNFAIP3;USP15;ZFPM2,CXCL1;PCSK9;SIRT6;PREP;MMP15;PRSS3;GP9;STX4;GCA,IL6;CA2;ZFPM2;PLA2G4A;TMPRSS6;FCER1G;KCNIP3;CFH;APOC1;CALM3;C3;KYNU;DPP4;GCA;S100A9;S100A12;F5;SERPINC1;CTSS;DOCK10;MT3;PPP4C;F10;COL4A2;MMP15;PRSS36;STX4;NOTCH4;CFB;SIRT6;CDH13;APOA4;FDX1;EHD1;ACTN2;RABIF;KLK1;FCN1;F2;RHOG;MMP13;MMP8;CTSC,JAK2;PCLO;KLKB1;IL6;CTSS;GZMK;F10;KYNU;APOA4;PRSS36;CXCL1;PLA2G4A;COL4A2;KLK1;GZMA;CDA;CFH;OLR1;GNGT2;ZFPM2;SIRT6;GCA;SERPINC1;S100A12;ACTN2;L3MBTL4;DOCK4;NOTCH4;PLEK;C1QA;GZMB;PRDM4;DOCK10;PIK3CG;KCNIP3;C1R;TIMP2,0.9409611875986288,0.9880153229218068,-1.5619167060683998,0.016829268752069467,0.005092691218976694,-0.391226575152518,-2.2485010132874783
17,HALLMARK_ANGIOGENESIS,0.08914532446544134,-1.6999234547964406,0.23630186095128472,APOH;CCND2;COL3A1;COL5A2;CXCL6;FSTL1;JAG1;KCNJ8;LPL;LRPAP1;LUM;MSX1;NRP1;OLR1;PF4;PGLYRP1;PRG2;SERPINA5;SLCO2A1;STC1;TNFRSF21;VTN,NRP1;KCNJ8;LPL;LRPAP1;VTN;FSTL1;SLCO2A1;MSX1;SERPINA5;COL3A1;LUM;OLR1;PRG2;PGLYRP1;CCND2,JAG1;PGLYRP1;COL5A2;COL3A1,COL3A1;OLR1;COL5A2;APOH;SERPINA5;TNFRSF21;PRG2;PGLYRP1;VTN,-1.144254554035537,0.7280976082462627,-1.2922466745366603,-0.2676513702482513,1.3503829109475786e-17,-0.28999749713922635,-4.887222009339766
