,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_ANDROGEN_RESPONSE,0.004912974446541445,-0.5365730416935529,-1.9555273569498783,0.0,HSD17B14;RAB4A;SLC26A2;ELOVL5;TMEM50A;PTPN21;TNFAIP8;UBE2J1;ABCC4;HERC3;XRCC5;MAP7;B2M;STEAP4;ALDH1A3;DNAJB9;SLC38A2;ZMIZ1;TSC22D1;SPCS3;APPBP2;SPDEF;SEC24D;LMAN1;ARID5B;GSR;SRF;KRT8;B4GALT1;SGK1;SORD;SRP19;IDI1;PA2G4;AKAP12;FADS1;GNAI3;STK39;XRCC6;GPD1L;CCND1;KRT19;NKX3-1;MAK;BMPR1B;MERTK;PGM3;SCD;ADAMTS1;DHCR24;IQGAP2;PIAS1;ANKH;ELL2,18.95%,ELL2;ANKH;PIAS1;IQGAP2;DHCR24;ADAMTS1;SCD;PGM3;MERTK;BMPR1B;MAK;NKX3-1;KRT19;CCND1;GPD1L;XRCC6;STK39;GNAI3;FADS1;AKAP12;PA2G4,21/54
1,HALLMARK_HEME_METABOLISM,0.19119658887790458,-0.39112113923295844,-1.570979903955946,0.005698005698005698,BTG2;PPP2R5B;CDR2;RHAG;CAT;ISCA1;SPTB;BLVRA;SLC25A37;UBAC1;GCLC;RANBP10;FN3K;KLF3;NEK7;DCUN1D1;PDZK1IP1;KLF1;HEBP1;ABCB6;SPTA1;RAD23A;SIDT2;KEL;USP15;SLC30A1;ALDH1L1;ALDH6A1;MGST3;HMBS;KAT2B;GMPS;BLVRB;PGLS;CCDC28A;HBB;MOCOS;TRAK2;OSBP2;SLC4A1;ARHGEF12;CPOX;UCP2;TNS1;E2F2;MBOAT2;DAAM1;RIOK3;TMCC2;GCLM;SLC7A11;ANK1;TSPAN5;LRP10;TMEM9B;RBM5;EPOR;CIR1;SLC22A4;RCL1;MXI1;HBBP1;MFHAS1;MAP2K3;TOP1;DCAF10;NFE2L1;TYR;SLC25A38;KHNYN;UROD;UROS;BNIP3L;MINPP1;TAL1;PSMD9;CA2;TFDP2;ALAD;ABCG2;SLC11A2;EZH1;SELENBP1;ENDOD1;SLC30A10;FOXJ2;C3;VEZF1;SLC2A1;GAPVD1;AGPAT4;ARL2BP;ELL2,12.27%,ELL2;ARL2BP;AGPAT4;GAPVD1;SLC2A1;VEZF1;C3;FOXJ2;SLC30A10;ENDOD1;SELENBP1;EZH1;SLC11A2;ABCG2;ALAD;TFDP2;CA2;PSMD9;TAL1;MINPP1,20/93
2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.1919130643180252,-0.3693044394545031,-1.533983369456296,0.008438818565400843,BTG2;IL1A;MSC;EHD1;MAP3K8;EGR3;NFKBIE;TNFRSF9;RIPK2;TNC;RELB;NINJ1;DNAJB4;PTGER4;TNFAIP8;HBEGF;PFKFB3;TAP1;CCL2;GFPT2;IRF1;OLR1;PLEK;NR4A2;TNFAIP3;JAG1;TNFAIP6;MXD1;FOSL1;KLF10;KDM6B;CCL5;TRAF1;ZFP36;SPSB1;MYC;PER1;MARCKS;IL12B;IL23A;DENND5A;ABCA1;TNF;KYNU;TSC22D1;CCNL1;GADD45B;PLK2;CXCL3;LIF;B4GALT5;IL7R;BTG1;YRDC;IRS2;HES1;REL;TANK;TNFSF9;EGR1;BMP2;ID2;IL1B;TNFAIP2;TUBB2A;TNIP1;PPP1R15A;EIF1;B4GALT1;DUSP2;SGK1;CXCL6;MAP2K3;PTGS2;STAT5A;IFIT2;LDLR;TRIP10;KLF2;KLF4;IFNGR2;PNRC1;FOSL2;SDC4;TLR2;ZC3H12A;F2RL1;IER3;BCL3;ETS2;F3;KLF9;SNN;INHBA;CD80;CCND1;IER2;SOCS3;DUSP5;BIRC2;DUSP1;CXCL2;GADD45A;SMAD3;TIPARP;AREG;CSF2;CXCL1;NFKBIA;IL6;PANX1;FOS;BHLHE40;ICAM1;TRIB1;NAMPT;DRAM1,16.24%,DRAM1;NAMPT;TRIB1;ICAM1;BHLHE40;FOS;PANX1;IL6;NFKBIA;CXCL1;CSF2;AREG;TIPARP;SMAD3;GADD45A;CXCL2;DUSP1;BIRC2;DUSP5;SOCS3;IER2;CCND1;CD80;INHBA;SNN;KLF9;F3;ETS2;BCL3;IER3;F2RL1;ZC3H12A,32/117
3,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2667745124472005,-0.3507885404773892,-1.4673482895790708,0.018309859154929577,JAK2;C1R;ST8SIA4;LCP2;ISG20;PSME2;CD86;RIPK2;SAMD9L;TDRD7;OGFR;CSF2RB;SLC25A28;CIITA;TAP1;RIPK1;CCL2;IRF1;PSMA2;HLA-G;IDO1;CMPK2;IL7;DDX60;HLA-B;TOR1B;TNFAIP3;TNFAIP6;MT2A;BST2;RNF31;CCL7;ISOC1;SECTM1;PSMB10;HLA-DRB1;IL2RB;IRF2;SELP;CCL5;OAS3;NLRC5;PLSCR1;IRF8;B2M;PTPN1;PTPN6;FPR1;GBP6;RNF213;KLRK1;RSAD2;PARP12;USP18;ZNFX1;SRI;NMI;NUP93;GZMA;DHX58;TRIM25;BTG1;PNP;SOCS1;LAP3;RTP4;CFB;TNFSF10;PLA2G4A;PNPT1;STAT2;TNFAIP2;PFKP;ARID5B;MX2;IFI30;CD38;PTGS2;IFIT2;MYD88;HLA-A;PIM1;TXNIP;SPPL2A;IRF9;GBP4;SAMHD1;IFI44;HLA-DMA;CFH;TRIM26;LGALS3BP;SOCS3;BATF2;SLAMF7;VAMP8;IFIT1;NOD1;ITGB7;LATS2;TRIM21;IFI35;IL4R;ST3GAL5;CXCL9;NFKBIA;VAMP5;PARP14;IL6;PSMB2;ICAM1;APOL6;STAT4;NAMPT,14.44%,NAMPT;STAT4;APOL6;ICAM1;PSMB2;IL6;PARP14;VAMP5;NFKBIA;CXCL9;ST3GAL5;IL4R;IFI35;TRIM21;LATS2;ITGB7;NOD1;IFIT1;VAMP8;SLAMF7;BATF2;SOCS3;LGALS3BP;TRIM26;CFH;HLA-DMA;IFI44,27/114
4,HALLMARK_KRAS_SIGNALING_UP,0.2763548126179563,-0.37565855162895645,-1.5759242814994003,0.007032348804500703,TSPAN1;SOX9;PCP4;KIF5C;EPB41L3;MAP3K1;ZNF277;TNFRSF1B;MYCN;C3AR1;HBEGF;EMP1;APOD;GFPT2;CBL;ABCB1;PPBP;SERPINA3;DOCK2;NR1H4;NR0B2;MMP9;TNFAIP3;HOXD11;CDADC1;AKT2;MTMR10;PRKG2;F13A1;RABGAP1L;NGF;ADAM17;MAP7;TRAF1;IRF8;DNMBP;ACE;ANO1;PTBP2;RBM4;CTSS;ALDH1A3;SCN1B;GPRC5B;IKZF1;LAPTM5;ETS1;ARG1;CBX8;LIF;CCND2;KCNN4;WDR33;FLT4;IL7R;YRDC;PLVAP;BMP2;ID2;CFHR2;IL1B;STRN;EVI5;RBP4;CFB;CBR4;RGS16;ETV5;PLEK2;GALNT3;PPP1R15A;PTPRR;IL1RL2;ITGA2;MMP11;SPON1;PTGS2;DCBLD2;CXCR4;KLF4;MMD;IL33;TSPAN13;ITGBL1;AKAP12;PIGR;MMP10;LCP1;FUCA1;F2RL1;PTCD2;SLPI;FCER1G;PDCD1LG2;CFH;INHBA;NRP1;CA2;FGF9;WNT7A;EREG;HKDC1;CPE;CSF2;MALL;USP12;SPRY2;AVL9;BTC;LY96;SDCCAG8;GADD45G;PRDM1;ZNF639;TRIB1;ANKH,18.83%,ANKH;TRIB1;ZNF639;PRDM1;GADD45G;SDCCAG8;LY96;BTC;AVL9;SPRY2;USP12;MALL;CSF2;CPE;HKDC1;EREG;WNT7A;FGF9;CA2;NRP1;INHBA;CFH;PDCD1LG2;FCER1G;SLPI;PTCD2;F2RL1;FUCA1;LCP1;MMP10;PIGR;AKAP12;ITGBL1;TSPAN13;IL33,35/116
5,HALLMARK_TGF_BETA_SIGNALING,0.3725262874090051,-0.42105837022049886,-1.3218356746329192,0.13344594594594594,BCAR3;SLC20A1;KLF10;TGFB1;SMAD7;LTBP2;SPTBN1;BMPR1A;FURIN;SMURF2;LEFTY2;HDAC1;BMP2;ID2;CDH1;PPP1R15A;CDK9;RAB31;IFNGR2;BMPR2;THBS1;ID3;SMAD3;RHOA,24.81%,RHOA;SMAD3;ID3;THBS1;BMPR2;IFNGR2;RAB31;CDK9,8/24
6,HALLMARK_MTORC1_SIGNALING,0.4005438889055317,-0.3216764119430949,-1.3271959667821482,0.08096590909090909,BTG2;PDK1;DAPP1;TUBA4A;POLR3G;SKAP2;NUFIP1;STARD4;CD9;SLC7A5;HSP90B1;ELOVL5;CYB5B;CTSC;GGA2;SEC11A;GCLC;UCHL5;MTHFD2L;GAPDH;ADIPOR2;MCM2;RDH11;BCAT1;PLK1;HMBS;GMPS;ATP6V1D;PITPNB;IGFBP5;CORO1A;RPA1;LTA4H;ABCF2;UFM1;SLC7A11;NUP205;PNP;PGM1;CCNF;EIF2S2;BUB1;PSMC2;PNO1;YKT6;TES;GBE1;SSR1;MLLT11;PPP1R15A;GSR;PSMD14;ETF1;EDEM1;SQLE;HK2;HSPA5;FADS2;IFI30;SORD;MAP2K3;GPI;STC1;HSPA4;TUBG1;DDIT4;SERPINH1;PPA1;ARPC5L;IDI1;LDLR;RRP9;HSPA9;CXCR4;PPIA;PHGDH;TMEM97;TM7SF2;ME1;PSMC6;FADS1;RIT1;USO1;COPS5;STIP1;QDPR;HSPE1;SRD5A1;NMT1;TXNRD1;SLC9A3R1;EGLN3;RPN1;ENO1;GOT1;SDF2L1;ACTR3;SLC2A1;SCD;PDAP1;DHCR24;BHLHE40;CALR;NAMPT,26.62%,NAMPT;CALR;BHLHE40;DHCR24;PDAP1;SCD;SLC2A1;ACTR3;SDF2L1;GOT1;ENO1;RPN1;EGLN3;SLC9A3R1;TXNRD1;NMT1;SRD5A1;HSPE1;QDPR;STIP1;COPS5;USO1;RIT1;FADS1;PSMC6;ME1;TM7SF2;TMEM97;PHGDH;PPIA;CXCR4;HSPA9;RRP9;LDLR;IDI1;ARPC5L;PPA1;SERPINH1;DDIT4;TUBG1;HSPA4;STC1;GPI,43/104
7,HALLMARK_HYPOXIA,0.42266933285401875,-0.3219030475170578,-1.3359409266648317,0.06022408963585434,HOXB9;DPYSL4;PDK1;BCL2;ISG20;PPFIA4;COL5A1;MAP3K1;PGM2;TMEM45A;EGFR;PFKFB3;MT1E;LOX;PCK1;ALDOB;STC2;KLHL24;MYH9;CDKN1B;TNFAIP3;GRHPR;MT2A;CHST3;CHST2;SLC2A5;GAPDH;CCNG2;ILVBL;NCAN;KIF5A;PGF;HAS1;GPC1;ZFP36;RRAGD;ALDOC;GALK1;ENO2;ETS1;SLC25A1;ZNF292;ADM;BTG1;BCAN;NAGK;NDST1;IRS2;SDC3;SIAH2;PGAM2;PGM1;SDC2;EFNA3;EDN2;TES;GBE1;PFKP;NDST2;PPP1R15A;PRKCA;HS3ST1;RORA;HK2;HSPA5;MXI1;SAP30;GCNT2;GPI;STC1;GAPDHS;GCK;DDIT4;AMPD3;CAV1;CXCR4;LALBA;MIF;PIM1;CSRP2;PNRC1;FOSL2;SDC4;ADORA2B;TGFB3;AKAP12;FAM162A;BNIP3L;KLF7;IER3;F3;SULT2B1;STBD1;PPP1R3C;HEXA;DUSP1;TGFBI;TIPARP;CP;PLIN2;ENO1;SELENBP1;PPARGC1A;PDGFB;SLC2A1;IL6;ERRFI1;HMOX1;FOS;BHLHE40;EXT1,26.87%,EXT1;BHLHE40;FOS;HMOX1;ERRFI1;IL6;SLC2A1;PDGFB;PPARGC1A;SELENBP1;ENO1;PLIN2;CP;TIPARP;TGFBI;DUSP1;HEXA;PPP1R3C;STBD1;SULT2B1;F3;IER3;KLF7;BNIP3L;FAM162A;AKAP12;TGFB3;ADORA2B;SDC4;FOSL2;PNRC1;CSRP2;PIM1;MIF;LALBA;CXCR4;CAV1;AMPD3;DDIT4;GCK;GAPDHS;STC1;GPI;GCNT2;SAP30,45/111
8,HALLMARK_MYC_TARGETS_V1,0.43795657923455167,-0.3350407488676927,-1.3494734918963014,0.0746054519368723,MAD2L1;FBL;CDK4;STARD7;CCT2;SMARCC1;PSMA1;SNRPA1;PRPF31;DHX15;PSMA2;HDDC2;LSM2;EIF2S1;CDC20;PWP1;GLO1;MCM5;MCM2;RRM1;PSMD1;LSM7;PSMA6;SRM;RAD23B;EXOSC7;IMPDH2;NOP16;MYC;SRPK1;SSBP1;RPS3;RANBP1;SNRPD3;CCNA2;CAD;YWHAQ;HSP90AB1;SET;PSMD7;PABPC1;CCT4;RPS6;CYC1;HDAC2;RPL22;AIMP2;XPO1;NOLC1;EIF2S2;MRPS18B;ILF2;C1QBP;RAN;VDAC1;PTGES3;PSMD14;ETF1;SNRPG;PSMD3;UBA2;RUVBL2;EIF3D;CLNS1A;MRPL23;TRA2B;RRP9;RSL1D1;PPIA;CCT5;ERH;PA2G4;PSMC6;PSMA7;FAM120A;RPL18;DDX21;GOT2;NDUFAB1;PSMB3;SNRPD1;COPS5;MCM6;TYMS;XRCC6;HSPE1;HNRNPA3;SNRPA;ODC1;AP3S1;COX5A;EIF3J;TUFM;SF3B3;KPNB1;DDX18;RPS10;PSMB2;CUL1;PSMD8,21.94%,PSMD8;CUL1;PSMB2;RPS10;DDX18;KPNB1;SF3B3;TUFM;EIF3J;COX5A;AP3S1;ODC1;SNRPA;HNRNPA3;HSPE1;XRCC6;TYMS;MCM6;COPS5;SNRPD1;PSMB3;NDUFAB1;GOT2;DDX21;RPL18;FAM120A;PSMA7;PSMC6;PA2G4;ERH;CCT5;PPIA;RSL1D1,33/100
9,HALLMARK_APICAL_SURFACE,0.4908598591973043,0.32763349031703287,1.0993464473231405,0.33175355450236965,RHCG;FLOT2;AKAP7;NCOA6;SLC2A4;EPHB4;LYPD3;ADIPOR2;THY1;IL2RB;CX3CL1;ATP8B1;PCSK9;EFNA5;SCUBE1;MDGA1;RTN4RL1;ADAM10;SLC34A3;CROCC;B4GALT1;DCBLD2;CD160;HSPB1,33.72%,RHCG;FLOT2;AKAP7;NCOA6;SLC2A4;EPHB4;LYPD3;ADIPOR2;THY1;IL2RB;CX3CL1;ATP8B1;PCSK9,13/24
10,HALLMARK_ADIPOGENESIS,0.49252568826577997,-0.32309070794873684,-1.3562386571135758,0.04551920341394026,SULT1A1;RETSAT;GRPEL1;PREB;GPX3;PEX14;CAT;UQCRQ;BAZ2A;CD302;REEP5;PFKFB3;ADIPOQ;REEP6;NDUFB7;DLAT;COQ5;DECR1;PEMT;HADH;GPAM;IDH3A;ADIPOR2;CCNG2;MGST3;RNF11;SOD1;ACO2;MAP4K3;LIPE;COX8A;SCP2;FZD4;ABCB8;COQ3;ABCA1;ECHS1;SUCLG1;DNAJB9;ESYT1;ESRRA;UCP2;RIOK3;MDH2;SLC19A1;SAMM50;LPL;SLC25A1;TST;COL4A1;CYC1;DHRS7;MRPL15;NDUFA5;DBT;TANK;ETFB;PGM1;HSPB8;ITGA7;NKIRAS1;ECH1;PTCD3;CHUK;GBE1;FAH;MTCH2;COL15A1;ACADS;POR;GHITM;ACAA2;PPP1R15B;JAGN1;ADIG;STAT5A;BCL2L13;ACADL;SLC25A10;TALDO1;EPHX2;ME1;LTC4S;ANGPT1;ATP1B3;COX6A1;MCCC1;NDUFAB1;CS;LPCAT3;CHCHD10;UQCRC1;QDPR;SLC27A1;NMT1;IFNGR1;COQ9;GADD45A;CPT2;DNAJC15;SDHB;APOE;DHRS7B;ALDH2;PLIN2;SNCG;C3;DLD;YWHAG;VEGFB;DRAM2,18.97%,DRAM2;VEGFB;YWHAG;DLD;C3;SNCG;PLIN2;ALDH2;DHRS7B;APOE;SDHB;DNAJC15;CPT2;GADD45A;COQ9;IFNGR1;NMT1;SLC27A1;QDPR;UQCRC1;CHCHD10;LPCAT3;CS;NDUFAB1;MCCC1;COX6A1;ATP1B3;ANGPT1;LTC4S;ME1;EPHX2,31/111
11,HALLMARK_PANCREAS_BETA_CELLS,0.5101389975329442,0.41002139265124393,1.3597616064385072,0.11407766990291263,NEUROG3;ABCC8;PDX1;NEUROD1;ISL1;NKX2-2;FOXO1;SEC11A;SST;NKX6-1;CHGA;SCGN;PCSK1;HNF1A;SRPRB;SYT13;SLC2A2;GCK;PCSK2;ELP4;PAX4;DPP4;SRP14,13.85%,NEUROG3;ABCC8;PDX1;NEUROD1;ISL1;NKX2-2;FOXO1;SEC11A,8/23
12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5325459592782321,-0.2961507259176141,-1.232686434577872,0.12517385257301808,SFRP4;COL5A2;MSX1;PCOLCE2;TNFRSF11B;VEGFC;ANPEP;COL5A1;TNC;FMOD;CRLF1;CDH6;COMP;COL5A3;LUM;LOX;PLOD3;SPARC;SGCG;COL7A1;PLOD1;MMP14;FAP;MGP;TNFAIP3;BASP1;CAP2;COL1A2;ITGB3;MFAP5;FGF2;THBS2;THY1;GLIPR1;COL1A1;IGFBP2;CAPG;LRP1;TGFB1;GREM1;COL6A2;EFEMP2;GPC1;ENO2;ITGB5;EDIL3;GPX7;DAB2;GADD45B;NID2;ITGA5;TGFBR3;EMP3;FSTL3;COL4A1;NOTCH2;SGCB;VIM;SPOCK1;MMP2;ID2;LOXL1;COL8A2;PCOLCE;WNT5A;ABI3BP;COL3A1;CTHRC1;MATN3;FSTL1;NTM;TNFRSF12A;SCG2;ITGA2;CDH2;CXCL6;SERPINH1;LAMA1;OXTR;COL4A2;CDH11;SDC4;HTRA1;NT5E;COL16A1;FBN2;FUCA1;SNAI2;TFPI2;DPYSL3;LGALS1;TPM4;LAMC1;INHBA;SLIT3;FBLN5;SLIT2;THBS1;GADD45A;TGFBI;PPIB;AREG;SNTB1;DKK1;BMP1;SFRP1;CXCL1;FBN1;IGFBP4;IL6;PDGFRB;LOXL2;DST,18.06%,DST;LOXL2;PDGFRB;IL6;IGFBP4;FBN1;CXCL1;SFRP1;BMP1;DKK1;SNTB1;AREG;PPIB;TGFBI;GADD45A;THBS1;SLIT2;FBLN5;SLIT3;INHBA;LAMC1;TPM4;LGALS1;DPYSL3;TFPI2;SNAI2;FUCA1;FBN2;COL16A1;NT5E;HTRA1,31/113
13,HALLMARK_COMPLEMENT,0.5662203049639016,-0.29149420514971924,-1.1793907802489974,0.20224719101123595,JAK2;C1R;LCP2;EHD1;LTF;AKAP10;TMPRSS6;MMP8;CTSC;PFN1;L3MBTL4;RNF4;IRF1;OLR1;GZMK;HPCAL4;PRSS36;MMP14;PLEK;TNFAIP3;ACTN2;CALM3;S100A12;CDK5R1;GNGT2;ATOX1;FCN1;C1QA;IRF2;CCL5;LRP1;USP15;PCSK9;GMFB;STX4;ZFPM2;KLKB1;PLSCR1;RHOG;PIK3CG;F2;BRPF3;GNG2;CTSS;GNAI2;KYNU;SH2B3;LTA4H;PRDM4;PRSS3;GZMA;GP1BA;CBLB;FDX1;APOC1;F5;CDA;LAP3;SIRT6;CFB;PLA2G4A;CTSO;MT3;KCNIP3;HSPA5;SPOCK2;GP9;RABIF;GCA;MMP15;COL4A2;RAF1;KLK1;PIM1;GNB2;DOCK4;CDH13;F10;ME1;GNAI3;FCER1G;TFPI2;F3;DPP4;CFH;PREP;S100A9;PCLO;CA2;GZMB;DUSP5;GNB4;DOCK10;SERPINC1;ANXA5;TIMP2;APOA4;CP;CXCL1;PPP4C;NOTCH4;MMP13;PDGFB;C3;IL6,23.71%,IL6;C3;PDGFB;MMP13;NOTCH4;PPP4C;CXCL1;CP;APOA4;TIMP2;ANXA5;SERPINC1;DOCK10;GNB4;DUSP5;GZMB;CA2;PCLO;S100A9;PREP;CFH;DPP4;F3;TFPI2;FCER1G;GNAI3;ME1;F10;CDH13;DOCK4;GNB2;PIM1;KLK1;RAF1;COL4A2;MMP15,36/105
